period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	0	0	0	NaN	NaN	0.0	0.0
2001	0	0	0	NaN	NaN	0.0	0.0
2002	0	0	0	NaN	NaN	0.0	0.0
2003	0	0	0	NaN	NaN	0.0	0.0
2004	12	12	0	1.0000000000	0.0000000000	0.08309311114900157	0.0
2005	71	70	1	0.9859154930	0.0140845070	0.22316931168954032	0.0031881330241362903
2006	190	187	3	0.9842105263	0.0157894737	0.3163979160490175	0.005075902396508301
2007	329	324	5	0.9848024316	0.0151975684	0.4010889361596408	0.006189644076537667
2008	463	453	10	0.9784017279	0.0215982721	0.5224352048699209	0.011532785979468453
2009	640	631	9	0.9859375000	0.0140625000	0.7031742407408437	0.010029426571580971
2010	928	859	69	0.9256465517	0.0743534483	1.1038017022580566	0.08866393184610699
2011	1178	876	302	0.7436332767	0.2563667233	1.1892575764165465	0.40999519186963135
2012	902	463	439	0.5133037694	0.4866962306	0.7092339802590405	0.6724702318222867
2013	1027	390	637	0.3797468354	0.6202531646	0.7302390050918218	1.1927237083166422
2014	1725	270	1455	0.1565217391	0.8434782609	0.6440698881189776	3.470821063752268
2015	1580	159	1421	0.1006329114	0.8993670886	0.4808491949202413	4.297400666551339
2016	1498	98	1400	0.0654205607	0.9345794393	0.34109000902082137	4.872714414583163
2017	1209	53	1156	0.0438378825	0.9561621175	0.21268339001512881	4.638905638820545
2018	1622	74	1548	0.0456226880	0.9543773120	0.3000649060666478	6.277033440421227
2019	1961	50	1911	0.0254971953	0.9745028047	0.21475933439742576	8.208101760669612
2020	1936	52	1884	0.0268595041	0.9731404959	0.19796565241870684	7.17244786840084
2021	2392	47	2345	0.0196488294	0.9803511706	0.18487323309275872	9.223994289415302
