period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1832	1832	0	1.0000000000	0.0000000000	267.6616120212791	0.0
2004	26614	26612	2	0.9999248516	0.0000751484	275.8934939147093	0.02073451780510366
2005	81803	81791	12	0.9998533061	0.0001466939	351.97201388931114	0.051639717898934276
2006	185545	185516	29	0.9998437037	0.0001562963	395.44210744578317	0.061815806269689466
2007	269153	269096	57	0.9997882245	0.0002117755	423.80100433102086	0.08976966304541201
2008	263125	263085	40	0.9998479810	0.0001520190	422.4625274485627	0.06423209646290175
2009	247311	247280	31	0.9998746518	0.0001253482	416.8176622135489	0.052253912684487286
2010	172230	172198	32	0.9998142019	0.0001857981	417.8091242323032	0.07764255087418961
2011	151369	151351	18	0.9998810853	0.0001189147	419.6006718257238	0.04990262431608003
2012	125210	125189	21	0.9998322818	0.0001677182	431.0345228288349	0.07230447546833615
2013	86561	86546	15	0.9998267118	0.0001732882	416.5668801288347	0.07219863658554435
2014	60110	60091	19	0.9996839128	0.0003160872	433.8181063510094	0.13716769600554457
2015	39858	39836	22	0.9994480405	0.0005519595	448.6893042712809	0.2477950771655834
2016	31406	31384	22	0.9992994969	0.0007005031	490.574939948963	0.34389015673200307
2017	30083	30043	40	0.9986703454	0.0013296546	488.0978089326237	0.6498656045436524
2018	27932	27895	37	0.9986753544	0.0013246456	493.5049564120748	0.6545862479744315
2019	21771	21715	56	0.9974277709	0.0025722291	474.63066838030596	1.2240072497949406
2020	20861	20803	58	0.9972196922	0.0027803078	498.98166053507447	1.391190516321411
2021	18285	18256	29	0.9984140005	0.0015859995	448.58077725711183	0.7125790173343692
