period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	871	715	156	0.8208955224	0.1791044776	343.47884986947804	74.94083997152248
2001	774	569	205	0.7351421189	0.2648578811	394.87646057446545	142.26656312436805
2002	931	620	311	0.6659505908	0.3340494092	318.067626307476	159.5468254542339
2003	837	545	292	0.6511350060	0.3488649940	402.3372472011723	215.56417648209597
2004	3523	2420	1103	0.6869145615	0.3130854385	425.30239967213055	193.846506958
2005	6886	4395	2491	0.6382515248	0.3617484752	516.2298798082937	292.5889944487963
2006	14456	8841	5615	0.6115799668	0.3884200332	523.6366479317952	332.5664266640685
2007	17141	9528	7613	0.5558602182	0.4441397818	465.352826381051	371.8231598697462
2008	29165	15654	13511	0.5367392422	0.4632607578	488.7217786900196	421.8167849674751
2009	34389	16663	17726	0.4845444764	0.5154555236	440.1919007384831	468.2735181234083
2010	57248	26022	31226	0.4545486305	0.5454513695	455.44492972107736	546.5269147440766
2011	55501	25098	30403	0.4522080683	0.5477919317	440.19201828987485	533.2360320370973
2012	58236	26818	31418	0.4605055292	0.5394944708	509.10559214088886	596.430736590441
2013	54787	24646	30141	0.4498512421	0.5501487579	488.7951845245454	597.775527743014
2014	66660	31957	34703	0.4794029403	0.5205970597	592.0503078061344	642.9239863502919
2015	72844	35450	37394	0.4866564165	0.5133435835	675.5097016055465	712.5531673296983
2016	65114	29494	35620	0.4529594250	0.5470405750	615.6348114580296	743.5041698018246
2017	53854	26004	27850	0.4828610688	0.5171389312	649.8197977032304	695.9499064003602
2018	76907	35108	41799	0.4564994084	0.5435005916	695.33736369418	827.8570828601181
2019	57478	25699	31779	0.4471101987	0.5528898013	615.6358768317167	761.2861406994485
2020	58689	24166	34523	0.4117637036	0.5882362964	579.6499361487987	828.0747639520391
2021	63349	26395	36954	0.4166600893	0.5833399107	566.5054059682476	793.1290309585386
