period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	12	0	12	0.0000000000	1.0000000000	0.0	1.9274789266319605
2001	6	0	6	0.0000000000	1.0000000000	0.0	1.0168059380111039
2002	18	2	16	0.1111111111	0.8888888889	0.1728768048770621	1.383014439016497
2003	12	1	11	0.0833333333	0.9166666667	0.07795308300155852	0.8574839130171437
2004	74	2	72	0.0270270270	0.9729729730	0.04170246823564697	1.501288856483291
2005	92	1	91	0.0108695652	0.9891304348	0.012302555214882766	1.1195325245543317
2006	144	4	140	0.0277777778	0.9722222222	0.03281587134366997	1.148555497028449
2007	204	5	199	0.0245098039	0.9754901961	0.02892806884676732	1.1513371401013395
2008	266	2	264	0.0075187970	0.9924812030	0.008184928607226234	1.0804105761538627
2009	306	1	305	0.0032679739	0.9967320261	0.003288366359290019	1.002951739583456
2010	365	3	362	0.0082191781	0.9917808219	0.008195056505898014	0.9888701517116938
2011	414	5	409	0.0120772947	0.9879227053	0.013301709636017312	1.088079848226216
2012	426	2	424	0.0046948357	0.9953051643	0.00551909049538992	1.1700471850226632
2013	364	7	357	0.0192307692	0.9807692308	0.02145189081593131	1.0940464316124967
2014	375	5	370	0.0133333333	0.9866666667	0.01781308181755823	1.318168054499309
2015	361	3	358	0.0083102493	0.9916897507	0.012402743730006854	1.480060751780818
2016	341	1	340	0.0029325513	0.9970674487	0.004477472771088869	1.5223407421702153
2017	285	1	284	0.0035087719	0.9964912281	0.00532919739297582	1.5134920596051329
2018	280	1	279	0.0035714286	0.9964285714	0.005260692125274166	1.4677331029514924
2019	232	0	232	0.0000000000	1.0000000000	0.0	1.2401947901255777
2020	277	4	273	0.0144404332	0.9855595668	0.018101110431625593	1.2354007869584467
2021	343	5	338	0.0145772595	0.9854227405	0.023415801930077446	1.5829082104732355
