period	v1ipm	v1abs
2003	248.07646057383306	262
2004	226.5857893074475	2348
2005	225.91666906553976	4544
2006	226.6053126815559	11741
2007	209.7567452520189	17259
2008	207.90202964676882	17842
2009	200.92756067353554	19276
2010	204.99475135191273	15667
2011	190.23372602284434	18175
2012	178.0132830786478	18106
2013	170.60716188996855	14855
2014	185.39752893664752	10668
2015	191.7830448447945	6876
2016	185.17190024592443	5547
2017	177.11774748521972	5494
2018	164.72979412876478	4941
2019	168.54358578073237	4281
2020	171.90327699946724	4240
2021	149.37398149251084	3673
2022	153.2145136888385	3140
