period	v1ipm	v1abs
2000	113.2803397115559	35
2001	48.77473793739762	36
2002	80.02184125549562	85
2003	84.50688564328087	76
2004	28.34920357849767	89
2005	10.070012159140079	63
2006	16.906541196402507	152
2007	11.631431365304216	171
2008	13.736847432665906	407
2009	13.320123750029364	482
2010	10.035462680780299	463
2011	13.500956356681648	809
2012	15.619170702362867	945
2013	17.131569197510238	1052
2014	17.38954836603583	857
2015	15.989359135295459	743
2016	13.738781398967605	628
2017	22.50927816367851	1050
2018	18.370780956151638	812
2019	15.304696794851166	749
2020	28.929909743106826	1569
2021	18.235176554843274	949
