period	v1ipm	v1abs
2000	0	0
2001		
2002		
2003	32.89149097128573	1
2004	0.0	0
2005	3.0571690614490983	2
2006	2.656068363658256	3
2007	2.712252764599243	5
2008	2.4851254884824785	6
2009	0.6291658644801894	2
2010	2.7565105333158755	10
2011	3.585893382305481	15
2012	3.3876071428478363	13
2013	4.787516550594325	16
2014	2.148369244518794	6
2015	3.1479349546697364	7
2016	5.345360394220329	8
2017	0.0	0
2018	4.210466039644064	5
2019	0.9154155986818016	1
2020	3.1868480903875103	3
2021	6.185921584783622	5
