period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	429	102	327	0.2377622378	0.7622377622	139.1759962340613	446.1818702797847
2001	424	122	302	0.2877358491	0.7122641509	201.90920043956626	499.80802076023775
2002	264	125	139	0.4734848485	0.5265151515	88.4338437027321	98.3384341974381
2003	108	98	10	0.9074074074	0.0925925926	60.55909640884558	6.179499633555672
2004	191	166	25	0.8691099476	0.1308900524	35.8902312411923	5.405155307408479
2005	166	152	14	0.9156626506	0.0843373494	27.47374901356589	2.5304768828284367
2006	408	353	55	0.8651960784	0.1348039216	40.91624572002161	6.3750524492951515
2007	590	470	120	0.7966101695	0.2033898305	24.09936568418509	6.153029536387684
2008	951	862	89	0.9064143007	0.0935856993	28.99946724412613	2.994144529845969
2009	749	654	95	0.8731642190	0.1268357810	18.342411424663506	2.6644175616865957
2010	946	829	117	0.8763213531	0.1236786469	20.49008476394619	2.891845497444758
2011	1021	889	132	0.8707149853	0.1292850147	22.874050025778978	3.3963718823428852
2012	1176	1050	126	0.8928571429	0.1071428571	31.11916244522879	3.734299493427455
2013	1009	878	131	0.8701684836	0.1298315164	34.61365074865818	5.1644513076016185
2014	799	690	109	0.8635794743	0.1364205257	35.74154882013263	5.646128726658632
2015	451	394	57	0.8736141907	0.1263858093	29.750218973692952	4.303965689087559
2016	356	321	35	0.9016853933	0.0983146067	32.03013586764549	3.4923824154753653
2017	357	336	21	0.9411764706	0.0588235294	45.49230800892082	2.8432692505575514
2018	236	230	6	0.9745762712	0.0254237288	37.904482023716994	0.9888125745317479
2019	181	179	2	0.9889502762	0.0110497238	36.70195795718953	0.41007774253843043
2020	176	174	2	0.9886363636	0.0113636364	40.523753207548225	0.4657902667534279
2021	162	160	2	0.9876543210	0.0123456790	40.88697128993539	0.5110871411241924
