period	v1ipm	v1abs
2003	668.8618230531745	4578
2004	320.0787513573852	30874
2005	273.24296064256094	63496
2006	273.3899953355711	128257
2007	394.76603050812236	250660
2008	505.05215708056187	314517
2009	701.2812204275513	416040
2010	1028.5090344629566	423895
2011	1399.111560845883	504663
2012	1838.5409868575496	533983
2013	1864.2024893358282	387307
2014	1839.29607444319	254773
2015	1844.304969105642	163743
2016	1735.3791504650114	111019
2017	1373.1172824803966	84517
2018	1127.091369890678	63708
2019	931.4039452769964	42613
2020	857.7888835290743	35762
2021	854.5542436156791	34778
