period	v1ipm	v1abs
2003		
2004	932.3123937120708	108
2005	1276.4018997190112	283
2006	932.5940603757721	457
2007	931.203304799478	431
2008	1039.6276833359052	256
2009	1190.6556141672945	237
2010	2062.8856347304836	223
2011	1624.0956739997046	121
2012	3609.258532757944	184
2013	1843.9654036967115	42
2014	1430.3499059677376	54
2015	797.5587766141896	23
2016	1602.3007395234183	39
2017	569.4544626248055	15
2018	894.5544000894555	24
2019	382.189948404357	8
2020	300.4807692307692	10
2021	446.86080285990914	6
