period	v1ipm	v1abs
2000	172.19483845971718	8
2001	220.49744222967016	10
2002	46.86182011309319	9
2003	0.0	0
2004	1.5836315839483102	1
2005	0.0	0
2006	1.3653787731389033	2
2007	0.0	0
2008	0.265958154144027	1
2009	0.44657241160489863	2
2010	0.3438967525657707	2
2011	0.4746146988884168	4
2012	2.703591599778684	20
2013	2.7841186448183177	21
2014	1.679575134673933	12
2015	1.710347725909447	14
2016	0.7863186839541451	6
2017	3.4164516756458476	29
2018	1.3588958246680134	12
2019	4.161933045873242	30
2020	20.027439575132743	202
2021	1.666630556337946	20
