period	v1ipm	v1abs
2000	192.8268414963363	1
2001	1090.5125408942204	4
2002	152.29972586049345	2
2003	0.0	0
2004	3.8272531039022675	1
2005	1.5285845307245491	1
2006	0.8853561212194186	1
2007	0.5424505529198486	1
2008	1.2425627442412392	3
2009	0.9437487967202841	3
2010	6.064323173294926	22
2011	17.451347793886672	73
2012	33.354901098809464	128
2013	54.458000763010446	182
2014	83.0702774547267	232
2015	55.31371420348252	123
2016	66.81700492775411	100
2017	56.73391633425386	71
2018	15.999770950647441	19
2019	29.29329915781765	32
2020	7.435978877570857	7
2021	0.0	0
