period	v1ipm	v1abs
2003	0.4383105000348457	3
2004	0.35248680268676225	34
2005	0.38729788424200706	90
2006	0.5563422564272053	261
2007	1.3181966310352606	837
2008	1.8643365998357235	1161
2009	4.706223361777048	2792
2010	2.8994640092080184	1195
2011	2.4064154392420813	868
2012	2.1553619830084965	626
2013	1.8916042785412617	393
2014	1.436651131847546	199
2015	1.351609511812273	120
2016	1.4068233684491036	90
2017	0.893565206247522	55
2018	1.326864016164388	75
2019	1.617438151514743	74
2020	5.085041197588606	212
2021	2.5554557863025655	104
