period	v1ipm	v1abs
2000	0.3212464877719933	2
2001	0.0	0
2002	0.08643840243853106	1
2003	0.23385924900467556	3
2004	0.08340493647129393	4
2005	0.2460511042976553	20
2006	0.13126348537467988	16
2007	0.13306911669512966	23
2008	0.22099307239510832	54
2009	0.3288366359290019	100
2010	0.2704368646946345	99
2011	0.3006186377739913	113
2012	0.4718822373558382	171
2013	0.5914592753535347	193
2014	0.4382018127119325	123
2015	0.32247133698017827	78
2016	0.4611796954221535	103
2017	0.4210065940450898	79
2018	0.27355599051425666	52
2019	0.4276533759053716	80
2020	4.122527900802729	911
2021	2.1027390133209547	449
