period	total	v1abs	v2abs	v1rel	v2rel
1965	5	0	5	0.0	1.0
1966	0	0	0	0.0	0.0
1967	0	0	0	0.0	0.0
1968	0	0	0	0.0	0.0
1969	0	0	0	0.0	0.0
1970	0	0	0	0.0	0.0
1971	0	0	0	0.0	0.0
1972	0	0	0	0.0	0.0
1973	0	0	0	0.0	0.0
1974	0	0	0	0.0	0.0
1975	0	0	0	0.0	0.0
1976	1	0	1	0.0	1.0
1977	0	0	0	0.0	0.0
1978	0	0	0	0.0	0.0
1979	0	0	0	0.0	0.0
1980	0	0	0	0.0	0.0
1981	0	0	0	0.0	0.0
1982	0	0	0	0.0	0.0
1983	0	0	0	0.0	0.0
1984	0	0	0	0.0	0.0
1985	0	0	0	0.0	0.0
1986	0	0	0	0.0	0.0
1987	0	0	0	0.0	0.0
1988	0	0	0	0.0	0.0
1989	0	0	0	0.0	0.0
1990	0	0	0	0.0	0.0
1991	0	0	0	0.0	0.0
1992	0	0	0	0.0	0.0
1993	0	0	0	0.0	0.0
1994	12	0	12	0.0	1.0
1995	5	0	5	0.0	1.0
1996	3	0	3	0.0	1.0
1997	5	0	5	0.0	1.0
1998	3	0	3	0.0	1.0
1999	0	0	0	0.0	0.0
2000	0	0	0	0.0	0.0
2001	8	0	8	0.0	1.0
2002	14	1	13	0.07142857142857142	0.9285714285714286
2003	5	0	5	0.0	1.0
2004	10	1	9	0.1	0.9
2005	17	1	16	0.058823529411764705	0.9411764705882353
2006	14	1	13	0.07142857142857142	0.9285714285714286
2007	15	0	15	0.0	1.0
2008	7	0	7	0.0	1.0
2009	15	0	15	0.0	1.0
2010	7	0	7	0.0	1.0
2011	9	0	9	0.0	1.0
2012	10	0	10	0.0	1.0
2013	6	0	6	0.0	1.0
