period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2001	0	0	0	NaN	NaN	0.0	0.0
2002	7	0	7	0.0000000000	1.0000000000	0.0	0.40169462336911266
2003	1	0	1	0.0000000000	1.0000000000	0.0	0.08185122590218058
2004	3	0	3	0.0000000000	1.0000000000	0.0	0.217291743790146
2005	11	1	10	0.0909090909	0.9090909091	0.033893998823471515	0.3389399882347151
2006	6	1	5	0.1666666667	0.8333333333	0.04431879180591631	0.22159395902958154
2007	9	0	9	0.0000000000	1.0000000000	0.0	0.365401466794568
2008	1	0	1	0.0000000000	1.0000000000	0.0	0.036282095322933146
2009	9	0	9	0.0000000000	1.0000000000	0.0	0.34764096058759664
2010	2	0	2	0.0000000000	1.0000000000	0.0	0.08402098558548575
2011	5	0	5	0.0000000000	1.0000000000	0.0	0.19034129831723445
2012	7	0	7	0.0000000000	1.0000000000	0.0	0.2785289105648045
2013	1	0	1	0.0000000000	1.0000000000	0.0	0.04415276538924769
