period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1809	3	1806	0.0016583748	0.9983416252	0.4383105000348457	263.8629210209771
2004	22504	14	22489	0.0006221116	0.9993334518	0.14513523587243765	233.13902282394645
2005	54353	38	54313	0.0006991334	0.9992640701	0.16352370730345978	233.7227135466529
2006	110272	73	110198	0.0006619994	0.9993289321	0.15560402547528643	234.8938684839125
2007	150675	64	150606	0.0004247553	0.9995420607	0.10079598463067867	237.19500095762484
2008	150777	38	150733	0.0002520278	0.9997081783	0.061020116744361794	242.04592782178645
2009	138458	49	138406	0.0003538979	0.9996244348	0.08260028140263868	233.3137662819104
2010	96673	19	96653	0.0001965388	0.9997931170	0.04610805622454233	234.55168201424684
2011	84984	31	84951	0.0003647745	0.9996116916	0.0859454667418976	235.52107565132076
2012	66772	24	66748	0.0003594321	0.9996405679	0.08264081592159062	229.83788254726377
2013	45999	19	45980	0.0004130525	0.9995869475	0.0914504654125965	221.3101262984835
2014	30157	7	30150	0.0002321186	0.9997678814	0.05052470082249521	217.6171042568901
2015	19838	7	19831	0.0003528582	0.9996471418	0.07881876079725536	223.29354933862444
2016	15197	10	15187	0.0006580246	0.9993419754	0.1563480888822625	237.44584258549207
2017	14539	8	14530	0.0005502442	0.9993809753	0.129963209689693	236.04567959890494
2018	13233	8	13225	0.0006045492	0.9993954508	0.1414672873873991	233.86310946229418
2019	10043	3	10040	0.0002987155	0.9997012845	0.06554120188669525	219.34455564747347
2020	9251	2	9249	0.0002161928	0.9997838072	0.04795409488767868	221.76371180807007
2021	8563	5	8558	0.0005839075	0.9994160925	0.12281886288450565	210.21676571311986
2022	7341	1	7339	0.0001362212	0.9997275576	0.030299404474294876	222.36732943685013
