period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1518	0	1518	0.0000000000	1.0000000000	0.0	221.78511301763191
2004	17223	1	17222	0.0000580619	0.9999419381	0.010366802562316976	178.53707372822296
2005	39971	1	39970	0.0000250181	0.9999749819	0.004303255455354205	172.00112055050755
2006	90711	16	90692	0.0001763843	0.9997905436	0.03410499188499429	193.31562025211883
2007	123826	7	123819	0.0000565309	0.9999434691	0.011024560818980478	195.00715657790627
2008	120903	4	120898	0.0000330844	0.9999586445	0.006423170183617031	194.13710721473294
2009	121639	12	121624	0.0000986526	0.9998766843	0.020228640343503353	205.02401276152096
2010	88659	8	88650	0.0000902334	0.9998984875	0.019413918410333617	215.13048338450935
2011	86741	7	86732	0.0000807000	0.9998962428	0.019407040877202686	240.45878133736332
2012	76439	8	76429	0.0001046586	0.9998691767	0.027546938640530205	263.17312166963535
2013	58026	5	58021	0.0000861683	0.9999138317	0.024065911950683288	279.265655458119
2014	41415	5	41410	0.0001207292	0.9998792708	0.036089072016068015	298.88969443707526
2015	27166	6	27160	0.0002208643	0.9997791357	0.06755893782621888	305.81679189335085
2016	19939	3	19936	0.0001504589	0.9998495411	0.046904426664678756	311.6955499956785
2017	19837	0	19837	0.0000000000	1.0000000000	0.0	322.260023826805
2018	17994	3	17991	0.0001667222	0.9998332778	0.053050232770274666	318.1422459233372
2019	14782	1	14781	0.0000676498	0.9999323502	0.021847067295565084	322.9215016957475
2020	13918	3	13915	0.0002155482	0.9997844518	0.07193114233151802	333.64061518102443
2021	13126	2	13123	0.0001523693	0.9997714460	0.04912754515380226	322.3503875266735
2022	11160	0	11160	0.0000000000	1.0000000000	0.0	338.1413539331308
