period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1994	1020	837	183	0.8205882353	0.1794117647	39.23735152096304	8.578775780568979
1995	0	0	0	NaN	NaN	0.0	0.0
1996	0	0	0	NaN	NaN	0.0	0.0
1997	0	0	0	NaN	NaN	0.0	0.0
1998	0	0	0	NaN	NaN	0.0	0.0
1999	0	0	0	NaN	NaN	0.0	0.0
2000	0	0	0	NaN	NaN	0.0	0.0
2001	813	608	205	0.7478474785	0.2521525215	34.91978672280788	11.773941246999367
2002	1028	773	255	0.7519455253	0.2480544747	36.6971919574567	12.105800710415858
2003	967	732	235	0.7569803516	0.2430196484	38.39685170994242	12.326858130924137
2004	1212	916	296	0.7557755776	0.2442244224	40.983927454869026	13.24371454873497
2005	1238	911	327	0.7358642973	0.2641357027	39.34548632338371	14.122913312564734
2006	1289	911	378	0.7067494182	0.2932505818	40.54393313446482	16.822839434498025
2007	1250	902	348	0.7216000000	0.2784000000	48.48226328534951	18.704908673283402
2008	980	720	260	0.7346938776	0.2653061224	42.39711148479454	15.310068036175805
2009	1084	755	329	0.6964944649	0.3035055351	43.5031928462543	18.957020458831344
2010	1091	764	327	0.7002749771	0.2997250229	44.39004791394373	18.99940532442356
2011	1355	917	438	0.6767527675	0.3232472325	45.99167505542448	21.96767031000646
2012	1074	707	367	0.6582867784	0.3417132216	41.19557122554027	21.384405431079607
2013	1208	822	386	0.6804635762	0.3195364238	48.71964823702737	22.878082992083414
