period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	0	0	0	NaN	NaN	0.0	0.0
2004	1	1	0	1.0000000000	0.0000000000	0.010366802562316976	0.0
2005	4	4	0	1.0000000000	0.0000000000	0.01721302182141682	0.0
2006	1	1	0	1.0000000000	0.0000000000	0.002131561992812143	0.0
2007	4	4	0	1.0000000000	0.0000000000	0.006299749039417417	0.0
2008	4	4	0	1.0000000000	0.0000000000	0.006423170183617031	0.0
2009	5	5	0	1.0000000000	0.0000000000	0.008428600143126398	0.0
2010	8	8	0	1.0000000000	0.0000000000	0.019413918410333617	0.0
2011	6	6	0	1.0000000000	0.0000000000	0.016634606466173728	0.0
2012	3	3	0	1.0000000000	0.0000000000	0.010330101990198827	0.0
2013	8	7	1	0.8750000000	0.1250000000	0.0336922767309566	0.004813182390136657
2014	5	5	0	1.0000000000	0.0000000000	0.036089072016068015	0.0
2015	3	2	1	0.6666666667	0.3333333333	0.022519645942072963	0.011259822971036481
2016	0	0	0	NaN	NaN	0.0	0.0
2017	2	2	0	1.0000000000	0.0000000000	0.03249080242242325	0.0
2018	1	1	0	1.0000000000	0.0000000000	0.01768341092342489	0.0
2019	3	3	0	1.0000000000	0.0000000000	0.06554120188669525	0.0
2020	2	0	2	0.0000000000	1.0000000000	0.0	0.04795409488767868
2021	1	1	0	1.0000000000	0.0000000000	0.02456377257690113	0.0
2022	2	2	0	1.0000000000	0.0000000000	0.06059880894858975	0.0
