period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	4	1	3	0.2500000000	0.7500000000	0.14610350001161523	0.4383105000348457
2004	17	3	14	0.1764705882	0.8235294118	0.031100407686950927	0.14513523587243765
2005	31	1	30	0.0322580645	0.9677419355	0.004303255455354205	0.12909766366062614
2006	66	4	62	0.0606060606	0.9393939394	0.008526247971248572	0.13215684355435287
2007	97	7	90	0.0721649485	0.9278350515	0.011024560818980478	0.14174435338689187
2008	79	4	75	0.0506329114	0.9493670886	0.006423170183617031	0.12043444094281931
2009	96	4	92	0.0416666667	0.9583333333	0.006742880114501117	0.1550862426335257
2010	84	7	77	0.0833333333	0.9166666667	0.01698717860904191	0.18685896469946103
2011	116	4	112	0.0344827586	0.9655172414	0.01108973764411582	0.310512654035243
2012	91	3	88	0.0329670330	0.9670329670	0.010330101990198827	0.30301632504583226
2013	73	3	70	0.0410958904	0.9589041096	0.014439547170409971	0.336922767309566
2014	72	5	67	0.0694444444	0.9305555556	0.036089072016068015	0.48359356501531137
2015	50	0	50	0.0000000000	1.0000000000	0.0	0.5629911485518241
2016	50	1	49	0.0200000000	0.9800000000	0.01563480888822625	0.7661056355230863
2017	44	2	42	0.0454545455	0.9545454545	0.03249080242242325	0.6823068508708884
2018	43	2	41	0.0465116279	0.9534883721	0.03536682184684978	0.7250198478604205
2019	35	0	35	0.0000000000	1.0000000000	0.0	0.764647355344778
2020	22	1	21	0.0454545455	0.9545454545	0.02397704744383934	0.5035179963206262
2021	34	0	34	0.0000000000	1.0000000000	0.0	0.8351682676146382
2022	12	3	9	0.2500000000	0.7500000000	0.09089821342288465	0.2726946402686539
