period	total	v1abs	v2abs	v1rel	v2rel
1965	140	5	135	0.03571428571428571	0.9642857142857143
1966	1	0	1	0.0	1.0
1967	0	0	0	0.0	0.0
1968	0	0	0	0.0	0.0
1969	0	0	0	0.0	0.0
1970	0	0	0	0.0	0.0
1971	0	0	0	0.0	0.0
1972	0	0	0	0.0	0.0
1973	0	0	0	0.0	0.0
1974	0	0	0	0.0	0.0
1975	0	0	0	0.0	0.0
1976	169	4	165	0.023668639053254437	0.9763313609467456
1977	0	0	0	0.0	0.0
1978	0	0	0	0.0	0.0
1979	0	0	0	0.0	0.0
1980	0	0	0	0.0	0.0
1981	0	0	0	0.0	0.0
1982	0	0	0	0.0	0.0
1983	0	0	0	0.0	0.0
1984	0	0	0	0.0	0.0
1985	0	0	0	0.0	0.0
1986	0	0	0	0.0	0.0
1987	0	0	0	0.0	0.0
1988	0	0	0	0.0	0.0
1989	0	0	0	0.0	0.0
1990	0	0	0	0.0	0.0
1991	0	0	0	0.0	0.0
1992	0	0	0	0.0	0.0
1993	0	0	0	0.0	0.0
1994	3190	73	3117	0.022884012539184952	0.9771159874608151
1995	1141	22	1119	0.019281332164767746	0.9807186678352322
1996	954	21	933	0.0220125786163522	0.9779874213836478
1997	1968	54	1914	0.027439024390243903	0.9725609756097561
1998	1493	37	1456	0.02478231748158071	0.9752176825184193
1999	0	0	0	0.0	0.0
2000	0	0	0	0.0	0.0
2001	2733	86	2647	0.031467252103915114	0.9685327478960849
2002	6032	202	5830	0.033488063660477456	0.9665119363395226
2003	4861	145	4716	0.029829253240074058	0.970170746759926
2004	5530	213	5317	0.03851717902350814	0.9614828209764918
2005	7860	271	7589	0.03447837150127227	0.9655216284987277
2006	7092	266	6826	0.03750705019740553	0.9624929498025945
2007	7341	254	7087	0.034600190709712576	0.9653998092902875
2008	6761	282	6479	0.041709806241680226	0.9582901937583198
2009	7019	279	6740	0.039749252030203734	0.9602507479697963
2010	6601	275	6326	0.04166035449174368	0.9583396455082563
2011	7754	284	7470	0.03662625741552747	0.9633737425844725
2012	6875	289	6586	0.042036363636363636	0.9579636363636364
2013	6484	237	6247	0.0365515114127082	0.9634484885872918
