period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	176	33	143	0.1875000000	0.8125000000	4.821415500383303	20.892800501660975
2004	2652	459	2193	0.1730769231	0.8269230769	4.758362376103492	22.734398019161127
2005	7316	1067	6249	0.1458447239	0.8541552761	4.591573570862936	26.891043340508425
2006	14518	2129	12389	0.1466455435	0.8533544565	4.538095482697051	26.407921528949636
2007	19146	2686	16460	0.1402904001	0.8597095999	4.230281479968795	25.923467297202667
2008	17462	2369	15093	0.1356660176	0.8643339824	3.804122541247186	24.23622689533296
2009	14903	2186	12717	0.1466818761	0.8533181239	3.6849839825748605	21.437301604027677
2010	9585	1351	8234	0.1409494001	0.8590505999	3.278525471545089	19.98177552383587
2011	7693	1113	6580	0.1446769791	0.8553230209	3.0857194994752266	18.24261842457052
2012	5665	853	4812	0.1505736981	0.8494263019	2.937192332546533	16.56948359227892
2013	3798	615	3183	0.1619273302	0.8380726698	2.9601071699340444	15.32035954780498
2014	2534	437	2097	0.1724546172	0.8275453828	3.1541848942043442	15.135756803538923
2015	1657	279	1378	0.1683765842	0.8316234158	3.1414906089191783	15.516036054088271
2016	1180	158	1022	0.1338983051	0.8661016949	2.4702998043397475	15.978774683767227
2017	1119	175	944	0.1563896336	0.8436103664	2.842945211962035	15.335658743383776
2018	992	149	843	0.1502016129	0.8497983871	2.6348282275903085	14.907115408447181
2019	781	132	649	0.1690140845	0.8309859155	2.883812883014591	14.17874667482174
2020	575	103	472	0.1791304348	0.8208695652	2.4696358867154524	11.317166393492169
2021	619	111	508	0.1793214863	0.8206785137	2.726578756036025	12.478396469065773
2022	485	93	392	0.1917525773	0.8082474227	2.817844616109424	11.877366553923592
