period	total	v1abs	v2abs	v1rel	v2rel
1965	373	373	0	1.0	0.0
1966	10	10	0	1.0	0.0
1967	0	0	0	0.0	0.0
1968	0	0	0	0.0	0.0
1969	0	0	0	0.0	0.0
1970	0	0	0	0.0	0.0
1971	0	0	0	0.0	0.0
1972	0	0	0	0.0	0.0
1973	0	0	0	0.0	0.0
1974	0	0	0	0.0	0.0
1975	0	0	0	0.0	0.0
1976	533	526	7	0.9868667917448405	0.013133208255159476
1977	0	0	0	0.0	0.0
1978	0	0	0	0.0	0.0
1979	0	0	0	0.0	0.0
1980	0	0	0	0.0	0.0
1981	0	0	0	0.0	0.0
1982	0	0	0	0.0	0.0
1983	0	0	0	0.0	0.0
1984	0	0	0	0.0	0.0
1985	0	0	0	0.0	0.0
1986	0	0	0	0.0	0.0
1987	0	0	0	0.0	0.0
1988	0	0	0	0.0	0.0
1989	0	0	0	0.0	0.0
1990	0	0	0	0.0	0.0
1991	0	0	0	0.0	0.0
1992	0	0	0	0.0	0.0
1993	0	0	0	0.0	0.0
1994	10295	10094	201	0.9804759592034968	0.019524040796503158
1995	3436	3373	63	0.9816647264260768	0.018335273573923165
1996	3037	2946	91	0.9700362199539019	0.029963780046098124
1997	5379	5248	131	0.9756460308607547	0.024353969139245212
1998	4062	3972	90	0.9778434268833087	0.022156573116691284
1999	0	0	0	0.0	0.0
2000	0	0	0	0.0	0.0
2001	7415	7126	289	0.9610249494268375	0.03897505057316251
2002	18169	17398	771	0.9575650833837855	0.04243491661621443
2003	15309	14714	595	0.9611339734796525	0.038866026520347506
2004	17115	16451	664	0.9612036225533158	0.038796377446684197
2005	27448	26075	1373	0.949978140483824	0.05002185951617604
2006	24339	22548	1791	0.9264143966473561	0.0735856033526439
2007	24419	22703	1716	0.9297268520414431	0.07027314795855687
2008	28446	25359	3087	0.8914785910145538	0.10852140898544611
2009	27417	25383	2034	0.9258124521282416	0.0741875478717584
2010	25780	23512	2268	0.9120248254460822	0.08797517455391776
2011	27242	24316	2926	0.8925923206813009	0.10740767931869907
2012	24633	21481	3152	0.8720415702512889	0.12795842974871108
2013	24604	21191	3413	0.8612827182571939	0.13871728174280604
