period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	1852	1335	517	0.7208423326	0.2791576674	214.27467380894177	82.98127817170254
2001	2327	1669	657	0.7172324882	0.2823377740	283.48652759577436	111.59415735795312
2002	4284	2765	1519	0.6454248366	0.3545751634	239.5081982833369	131.57792158856736
2003	4699	2822	1877	0.6005533092	0.3994466908	220.28415875884008	146.51784762237517
2004	19291	10980	8310	0.5691773366	0.4307708258	230.87096829744206	174.73021371145205
2005	37064	18900	18161	0.5099287719	0.4899902871	235.0656861832295	225.8744934800863
2006	60618	29520	31091	0.4869840641	0.5129004586	245.88250914104876	258.96792316071634
2007	88233	37373	50852	0.4235716795	0.5763376514	220.24437785312395	299.678032338508
2008	137001	53954	83032	0.3938219429	0.6060685688	226.12416397627152	347.99165183819133
2009	178476	64035	114417	0.3587877362	0.6410777920	216.63300462335124	387.07735597704345
2010	234183	80456	153695	0.3435603780	0.6563029767	225.94187708678763	431.61649595870813
2011	257159	85521	171604	0.3325607892	0.6673069968	231.4900104729057	464.50125416204804
2012	258919	85362	173526	0.3296861181	0.6701941534	239.32908522758478	486.51412622949175
2013	231761	78937	152794	0.3405965628	0.6592739935	245.19816176643144	474.6165667423404
2014	209116	75025	134075	0.3587721647	0.6411513227	270.90479797691296	484.1261018161227
2015	183943	70709	113213	0.3844071261	0.6154787081	294.6766819314764	471.81025317156565
2016	157859	59942	97895	0.3797186096	0.6201420255	269.9745264518129	440.91215286443935
2017	142909	55924	86976	0.3913259487	0.6086110742	298.93021000547486	464.9122728244793
2018	156183	60472	95686	0.3871868257	0.6126531057	318.96181915415514	504.6993753734702
2019	139932	53022	86895	0.3789126147	0.6209801904	283.9903333808275	465.4169970790805
2020	191865	70540	121304	0.3676543403	0.6322362078	319.4137190619411	549.2792993633357
2021	173506	59844	113644	0.3449102625	0.6549859947	279.46958014902594	530.7138721752541
2022	189762	65121	124626	0.3431719733	0.6567489803	309.91941290971096	593.1115424100618
