period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1965	373	373	0	1.0000000000	0.0000000000	336.4482609323135	0.0
1966	10	10	0	1.0000000000	0.0000000000	925.154963456379	0.0
1967	0	0	0	NaN	NaN	0.0	0.0
1968	0	0	0	NaN	NaN	0.0	0.0
1969	0	0	0	NaN	NaN	0.0	0.0
1970	0	0	0	NaN	NaN	0.0	0.0
1971	0	0	0	NaN	NaN	0.0	0.0
1972	0	0	0	NaN	NaN	0.0	0.0
1973	0	0	0	NaN	NaN	0.0	0.0
1974	0	0	0	NaN	NaN	0.0	0.0
1975	0	0	0	NaN	NaN	0.0	0.0
1976	0	0	0	NaN	NaN	0.0	0.0
1977	0	0	0	NaN	NaN	0.0	0.0
1978	0	0	0	NaN	NaN	0.0	0.0
1979	0	0	0	NaN	NaN	0.0	0.0
1980	0	0	0	NaN	NaN	0.0	0.0
1981	0	0	0	NaN	NaN	0.0	0.0
1982	0	0	0	NaN	NaN	0.0	0.0
1983	0	0	0	NaN	NaN	0.0	0.0
1984	0	0	0	NaN	NaN	0.0	0.0
1985	0	0	0	NaN	NaN	0.0	0.0
1986	0	0	0	NaN	NaN	0.0	0.0
1987	0	0	0	NaN	NaN	0.0	0.0
1988	0	0	0	NaN	NaN	0.0	0.0
1989	0	0	0	NaN	NaN	0.0	0.0
1990	0	0	0	NaN	NaN	0.0	0.0
1991	0	0	0	NaN	NaN	0.0	0.0
1992	0	0	0	NaN	NaN	0.0	0.0
1993	0	0	0	NaN	NaN	0.0	0.0
1994	0	0	0	NaN	NaN	0.0	0.0
1995	3436	3373	63	0.9816647264	0.0183352736	439.667870224331	8.211999947860319
1996	3037	2946	91	0.9700362200	0.0299637800	452.1157821556991	13.965558783492401
1997	5379	5248	131	0.9756460309	0.0243539691	382.9740312519361	9.559755734375692
1998	4062	3972	90	0.9778434269	0.0221565731	369.80316919081537	8.379225888009412
