period	total	v1abs	v2abs	v1rel	v2rel
1965	7	4	3	0.5714285714285714	0.42857142857142855
1966	0	0	0	0.0	0.0
1967	0	0	0	0.0	0.0
1968	0	0	0	0.0	0.0
1969	0	0	0	0.0	0.0
1970	0	0	0	0.0	0.0
1971	0	0	0	0.0	0.0
1972	0	0	0	0.0	0.0
1973	0	0	0	0.0	0.0
1974	0	0	0	0.0	0.0
1975	0	0	0	0.0	0.0
1976	18	11	7	0.6111111111111112	0.3888888888888889
1977	0	0	0	0.0	0.0
1978	0	0	0	0.0	0.0
1979	0	0	0	0.0	0.0
1980	0	0	0	0.0	0.0
1981	0	0	0	0.0	0.0
1982	0	0	0	0.0	0.0
1983	0	0	0	0.0	0.0
1984	0	0	0	0.0	0.0
1985	0	0	0	0.0	0.0
1986	0	0	0	0.0	0.0
1987	0	0	0	0.0	0.0
1988	0	0	0	0.0	0.0
1989	0	0	0	0.0	0.0
1990	0	0	0	0.0	0.0
1991	0	0	0	0.0	0.0
1992	0	0	0	0.0	0.0
1993	0	0	0	0.0	0.0
1994	271	174	97	0.6420664206642066	0.35793357933579334
1995	106	68	38	0.6415094339622641	0.3584905660377358
1996	64	49	15	0.765625	0.234375
1997	149	105	44	0.7046979865771812	0.2953020134228188
1998	107	82	25	0.7663551401869159	0.2336448598130841
1999	0	0	0	0.0	0.0
2000	0	0	0	0.0	0.0
2001	182	127	55	0.6978021978021978	0.3021978021978022
2002	455	358	97	0.7868131868131868	0.21318681318681318
2003	358	264	94	0.7374301675977654	0.26256983240223464
2004	404	306	98	0.7574257425742574	0.24257425742574257
2005	596	462	134	0.7751677852348994	0.22483221476510068
2006	521	385	136	0.7389635316698656	0.26103646833013433
2007	512	384	128	0.75	0.25
2008	478	390	88	0.8158995815899581	0.18410041841004185
2009	514	413	101	0.8035019455252919	0.19649805447470817
2010	523	419	104	0.8011472275334608	0.1988527724665392
2011	506	393	113	0.7766798418972332	0.22332015810276679
2012	476	361	115	0.7584033613445378	0.2415966386554622
2013	416	324	92	0.7788461538461539	0.22115384615384615
