period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	25	24	1	0.9600000000	0.0400000000	3.8521289673517622	0.16050537363965678
2001	38	35	3	0.9210526316	0.0789473684	5.944894227592632	0.5095623623650828
2002	52	47	5	0.9038461538	0.0961538462	4.07120626376739	0.43310704933695643
2003	61	56	5	0.9180327869	0.0819672131	4.371336956234955	0.39029794252097816
2004	261	241	20	0.9233716475	0.0766283525	5.067386462630559	0.42052999689880155
2005	417	389	28	0.9328537170	0.0671462830	4.838124440490808	0.34824546101219184
2006	658	585	73	0.8890577508	0.1109422492	4.872671675051271	0.6080427902200732
2007	780	701	79	0.8987179487	0.1012820513	4.131092202259382	0.4655581797125409
2008	969	857	112	0.8844169247	0.1155830753	3.5917338571313464	0.4693981236857769
2009	1111	999	112	0.8991899190	0.1008100810	3.3796575563165128	0.37890054685430374
2010	1249	1093	156	0.8751000801	0.1248999199	3.0694351155396595	0.43808954988489196
2011	1198	1043	155	0.8706176962	0.1293823038	2.823213958246988	0.41955720376633093
2012	1175	1047	128	0.8910638298	0.1089361702	2.93546955592982	0.35887306891978693
2013	958	844	114	0.8810020877	0.1189979123	2.6216761281891654	0.35411265238574036
2014	942	796	146	0.8450106157	0.1549893843	2.874244840914664	0.527185611524549
2015	789	693	96	0.8783269962	0.1216730038	2.8880473571753686	0.40007582437061384
2016	721	602	119	0.8349514563	0.1650485437	2.711365401955079	0.5359675794562365
2017	656	536	120	0.8170731707	0.1829268293	2.8650774723362873	0.6414352550006613
2018	786	629	157	0.8002544529	0.1997455471	3.317683957004293	0.8281023549279396
2019	723	578	145	0.7994467497	0.2005532503	3.0958170701617878	0.7766323099886837
2020	789	676	113	0.8567807351	0.1432192649	3.0610104066610737	0.5116777750779605
2021	787	628	159	0.7979669632	0.2020330368	2.932740063057087	0.7425249522708229
2022	907	747	160	0.8235942668	0.1764057332	3.555071350924496	0.7614610657937341
