period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
1994	271	174	97	0.6420664207	0.3579335793	8.156868774967226	4.547219949263339
1995	0	0	0	NaN	NaN	0.0	0.0
1996	0	0	0	NaN	NaN	0.0	0.0
1997	0	0	0	NaN	NaN	0.0	0.0
1998	0	0	0	NaN	NaN	0.0	0.0
1999	0	0	0	NaN	NaN	0.0	0.0
2000	0	0	0	NaN	NaN	0.0	0.0
2001	181	126	55	0.6961325967	0.3038674033	7.236666327424002	3.158862285780318
2002	232	176	56	0.7586206897	0.2413793103	8.35537617660075	2.658528783463875
2003	219	156	63	0.7123287671	0.2876712329	8.182935610315598	3.3046470733966835
2004	240	165	75	0.6875000000	0.3125000000	7.382476015342127	3.3556709160646037
2005	230	169	61	0.7347826087	0.2652173913	7.298998011692477	2.6345495781848585
2006	281	183	98	0.6512455516	0.3487544484	8.14439051987603	4.361476890425414
2007	259	178	81	0.6872586873	0.3127413127	9.567453286909327	4.3537287429194125
2008	215	160	55	0.7441860465	0.2558139535	9.421580329954342	3.238668238421805
2009	217	148	69	0.6820276498	0.3179723502	8.527778200325347	3.975788485286817
2010	222	158	64	0.7117117117	0.2882882883	9.18014079895695	3.718538045147119
2011	262	181	81	0.6908396947	0.3091603053	9.077964214865682	4.062514372398455
2012	219	147	72	0.6712328767	0.3287671233	8.56541579936976	4.195305697650495
2013	209	148	61	0.7081339713	0.2918660287	8.771907468467216	3.6154483484898656
