period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	45	5	40	0.1111111111	0.8888888889	0.7305175000580761	5.844140000464609
2004	818	46	772	0.0562347188	0.9437652812	0.4768729178665808	8.003171578108704
2005	2131	164	1967	0.0769591741	0.9230408259	0.7057338946780896	8.46450348068172
2006	4670	427	4243	0.0914346895	0.9085653105	0.910176970930785	9.044217535501922
2007	6476	661	5815	0.1020691785	0.8979308215	1.041033528763728	9.15826016605307
2008	6408	548	5860	0.0855181024	0.9144818976	0.8799743151555331	9.40994431899895
2009	6205	486	5719	0.0783239323	0.9216760677	0.8192599339118857	9.640632843707971
2010	4298	310	3988	0.0721265705	0.9278734295	0.7522893384004274	9.677838327551306
2011	3720	191	3529	0.0513440860	0.9486559140	0.5295349725065304	9.783921036521182
2012	2724	137	2587	0.0502936858	0.9497063142	0.47174132421907977	8.907991282881454
2013	2057	88	1969	0.0427807487	0.9572192513	0.4235600503320258	9.477156126179079
2014	1312	47	1265	0.0358231707	0.9641768293	0.3392372769510393	9.130535220065207
2015	820	24	796	0.0292682927	0.9707317073	0.27023575130487554	8.962819084945039
2016	592	27	565	0.0456081081	0.9543918919	0.42213983998210874	8.833667021847832
2017	605	14	591	0.0231404959	0.9768595041	0.22743561695696277	9.60103211582607
2018	537	15	522	0.0279329609	0.9720670391	0.2652511638513734	9.230740502027793
2019	388	8	380	0.0206185567	0.9793814433	0.17477653836452067	8.301885572314733
2020	382	12	370	0.0314136126	0.9685863874	0.2877245693260721	8.871507554220557
2021	333	18	315	0.0540540541	0.9459459459	0.4421479063842203	7.737588361723856
2022	298	12	286	0.0402684564	0.9597315436	0.3635928536915386	8.665629679648335
