period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2000	25	24	1	0.9600000000	0.0400000000	3.8521289673517622	0.16050537363965678
2001	29	25	4	0.8620689655	0.1379310345	4.246353019709023	0.6794164831534437
2002	56	51	5	0.9107142857	0.0892857143	4.417691903236956	0.43310704933695643
2003	104	99	5	0.9519230769	0.0480769231	7.7278992619153675	0.39029794252097816
2004	283	253	30	0.8939929329	0.1060070671	5.319704460769839	0.6307949953482024
2005	540	504	36	0.9333333333	0.0666666667	6.268418298219453	0.44774416415853235
2006	859	783	76	0.9115250291	0.0884749709	6.521883626607086	0.6330308500921309
2007	1377	1275	102	0.9259259259	0.0740740741	7.51375543206949	0.6011004345655592
2008	1933	1808	125	0.9353336782	0.0646663218	7.577426853784685	0.5238818344707332
2009	2532	2360	172	0.9320695103	0.0679304897	7.983975808715686	0.5818829826691093
2010	3140	2950	190	0.9394904459	0.0605095541	8.284385718977125	0.5335706056290351
2011	3422	3180	242	0.9292811222	0.0707188778	8.607689728883434	0.6550506020093683
2012	3353	3124	229	0.9317029526	0.0682970474	8.75874583832355	0.6420463498643063
2013	2896	2699	197	0.9319751381	0.0680248619	8.38377235779924	0.611931513333253
2014	2600	2398	202	0.9223076923	0.0776923077	8.658843126273071	0.7293937912873897
2015	2288	2102	186	0.9187062937	0.0812937063	8.759993571114899	0.7751469097180643
2016	1777	1623	154	0.9133370850	0.0866629150	7.3098771551048065	0.6936051028257179
2017	1583	1381	202	0.8723941883	0.1276058117	7.381850726299278	1.0797493459177798
2018	1618	1410	208	0.8714462299	0.1285537701	7.437097582473852	1.0971037568472064
2019	1567	1407	160	0.8978940651	0.1021059349	7.536011449338469	0.856973583435789
2020	1769	1581	188	0.8937252685	0.1062747315	7.158960729188103	0.8512869178288194
2021	1818	1585	233	0.8718371837	0.1281628163	7.401899681441852	1.0881026030132186
2022	1945	1667	278	0.8570694087	0.1429305913	7.933472479238466	1.323038601816613
