period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2001	3	3	0	1.0000000000	0.0000000000	4.88479217651685	0.0
2002	443	435	8	0.9819413093	0.0180586907	24.96245159508057	0.45907956956470014
2003	353	348	5	0.9858356941	0.0141643059	28.484226613958842	0.4092561295109029
2004	352	347	5	0.9857954545	0.0142045455	25.133411698393555	0.36215290631691
2005	862	846	16	0.9814385151	0.0185614849	28.674323004656898	0.5423039811755442
2006	550	533	17	0.9690909091	0.0309090909	23.621916032553393	0.7534194607005773
2007	552	543	9	0.9836956522	0.0163043478	22.045888496605603	0.365401466794568
2008	637	619	18	0.9717425432	0.0282574568	22.458617004895615	0.6530777158127966
2009	623	615	8	0.9871589085	0.0128410915	23.755465640152437	0.30901418718897483
2010	668	652	16	0.9760479042	0.0239520958	27.390841300868352	0.672167884683886
2011	641	627	14	0.9781591264	0.0218408736	23.8687988089812	0.5329556352882564
2012	534	523	11	0.9794007491	0.0205992509	20.810088603627538	0.4376882880304071
2013	517	506	11	0.9787234043	0.0212765957	22.34129928695933	0.4856804192817246
