period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	322	5	317	0.0155279503	0.9844720497	0.7305175000580761	46.31480950368203
2004	3982	126	3856	0.0316423908	0.9683576092	1.3062171228519388	39.974390680294256
2005	10458	331	10127	0.0316504112	0.9683495888	1.4243775557222418	43.579067996372025
2006	23336	700	22636	0.0299965718	0.9700034282	1.4920933949684998	48.25003726929566
2007	32423	849	31573	0.0261851155	0.9737840422	1.3371217336163466	49.72549410538152
2008	33102	844	32258	0.0254969488	0.9745030512	1.3552889087431934	51.79965594577954
2009	32329	691	31638	0.0213739986	0.9786260014	1.164832539780068	53.332810265646586
2010	23642	483	23159	0.0204297437	0.9795702563	1.172115324023892	56.20086705811452
2011	19533	399	19134	0.0204269697	0.9795730303	1.1062013300005529	53.04776002062802
2012	14846	286	14559	0.0192644483	0.9806681935	0.9848030563989548	50.131984958434906
2013	10124	210	9914	0.0207427894	0.9792572106	1.010768301928698	47.71789021581482
2014	6385	164	6221	0.0256851997	0.9743148003	1.1837215621270307	44.90202340239182
2015	4142	91	4051	0.0219700628	0.9780299372	1.0246438903643198	45.61354285566879
2016	2723	64	2659	0.0235034888	0.9764965112	1.00062776884648	41.572956833793604
2017	2447	59	2388	0.0241111565	0.9758888435	0.958478671461486	38.79401809237336
2018	2153	56	2097	0.0260102183	0.9739897817	0.9902710117117938	37.08211270642199
2019	1663	46	1617	0.0276608539	0.9723391461	1.004965095595994	35.32670781692874
2020	1547	30	1517	0.0193923723	0.9806076277	0.7193114233151802	36.37318097230428
2021	1425	31	1394	0.0217543860	0.9782456140	0.761476949883935	34.241898972200175
2022	1115	35	1080	0.0313901345	0.9686098655	1.0604791566003207	32.72335683223847
