period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2001	5	2	3	0.4000000000	0.6000000000	3.2565281176779	4.88479217651685
2002	171	43	128	0.2514619883	0.7485380117	2.4675526864102633	7.345273113035202
2003	137	27	110	0.1970802920	0.8029197080	2.2099830993588756	9.003634849239864
2004	135	34	101	0.2518518519	0.7481481481	2.4626397629549883	7.315488707601583
2005	377	67	310	0.1777188329	0.8222811671	2.2708979211725917	10.507139635276168
2006	260	51	209	0.1961538462	0.8038461538	2.260258382101732	9.262627487436509
2007	337	61	276	0.1810089021	0.8189910979	2.4766099416076277	11.205644981700084
2008	396	75	321	0.1893939394	0.8106060606	2.7211571492199855	11.646552598661538
2009	340	68	272	0.2000000000	0.8000000000	2.626620591106286	10.506482364425144
2010	313	60	253	0.1916932907	0.8083067093	2.5206295675645722	10.628654676563945
2011	371	70	301	0.1886792453	0.8113207547	2.6647781764412826	11.458546158697514
2012	392	63	329	0.1607142857	0.8392857143	2.5067601950832405	13.090858796545811
2013	332	66	266	0.1987951807	0.8012048193	2.9140825156903474	11.744635593539886
