period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1	0	1	0.0000000000	1.0000000000	0.0	0.14610350001161523
2004	9	1	8	0.1111111111	0.8888888889	0.010366802562316976	0.0829344204985358
2005	43	6	37	0.1395348837	0.8604651163	0.025819532732125228	0.15922045184810557
2006	75	5	70	0.0666666667	0.9333333333	0.010657809964060714	0.14920933949685
2007	111	14	97	0.1261261261	0.8738738739	0.022049121637960956	0.15276891420587235
2008	84	11	73	0.1309523810	0.8690476190	0.017663718004946833	0.1172228558510108
2009	109	15	94	0.1376146789	0.8623853211	0.025285800429379186	0.15845768269077623
2010	83	9	74	0.1084337349	0.8915662651	0.021840658211625317	0.17957874529558593
2011	64	7	57	0.1093750000	0.8906250000	0.019407040877202686	0.1580287614286504
2012	73	8	65	0.1095890411	0.8904109589	0.027546938640530205	0.22381887645430792
2013	62	10	52	0.1612903226	0.8387096774	0.048131823901366576	0.2502854842871062
2014	112	6	106	0.0535714286	0.9464285714	0.043306886419281605	0.7650883267406418
2015	29	6	23	0.2068965517	0.7931034483	0.06755893782621888	0.2589759283338391
2016	19	3	16	0.1578947368	0.8421052632	0.046904426664678756	0.25015694221162
2017	26	9	17	0.3461538462	0.6538461538	0.14620861090090465	0.27617182059059764
2018	20	5	15	0.2500000000	0.7500000000	0.08841705461712444	0.2652511638513734
2019	19	1	18	0.0526315789	0.9473684211	0.021847067295565084	0.39324721132017154
2020	9	3	6	0.3333333333	0.6666666667	0.07193114233151802	0.14386228466303605
2021	19	3	16	0.1578947368	0.8421052632	0.07369131773070338	0.39302036123041806
2022	15	6	9	0.4000000000	0.6000000000	0.1817964268457693	0.2726946402686539
