period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	0	0	0	NaN	NaN	0.0	0.0
2004	5	5	0	1.0000000000	0.0000000000	0.05183401281158488	0.0
2005	4	4	0	1.0000000000	0.0000000000	0.01721302182141682	0.0
2006	4	3	1	0.7500000000	0.2500000000	0.006394685978436428	0.002131561992812143
2007	16	16	0	1.0000000000	0.0000000000	0.025198996157669667	0.0
2008	12	12	0	1.0000000000	0.0000000000	0.01926951055085109	0.0
2009	16	14	2	0.8750000000	0.1250000000	0.023600080400753908	0.0033714400572505583
2010	13	12	1	0.9230769231	0.0769230769	0.029120877615500418	0.002426739801291702
2011	12	12	0	1.0000000000	0.0000000000	0.033269212932347456	0.0
2012	17	17	0	1.0000000000	0.0000000000	0.058537244611126686	0.0
2013	9	7	2	0.7777777778	0.2222222222	0.0336922767309566	0.009626364780273315
2014	5	5	0	1.0000000000	0.0000000000	0.036089072016068015	0.0
2015	5	5	0	1.0000000000	0.0000000000	0.05629911485518241	0.0
2016	1	1	0	1.0000000000	0.0000000000	0.01563480888822625	0.0
2017	3	3	0	1.0000000000	0.0000000000	0.048736203633634886	0.0
2018	2	2	0	1.0000000000	0.0000000000	0.03536682184684978	0.0
2019	5	5	0	1.0000000000	0.0000000000	0.10923533647782542	0.0
2020	3	3	0	1.0000000000	0.0000000000	0.07193114233151802	0.0
2021	2	2	0	1.0000000000	0.0000000000	0.04912754515380226	0.0
2022	2	1	1	0.5000000000	0.5000000000	0.030299404474294876	0.030299404474294876
