period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	0	0	0	NaN	NaN	0.0	0.0
2004	1	0	1	0.0000000000	1.0000000000	0.0	0.010366802562316976
2005	4	0	4	0.0000000000	1.0000000000	0.0	0.01721302182141682
2006	5	0	5	0.0000000000	1.0000000000	0.0	0.010657809964060714
2007	15	0	15	0.0000000000	1.0000000000	0.0	0.02362405889781531
2008	15	0	15	0.0000000000	1.0000000000	0.0	0.024086888188563863
2009	11	0	11	0.0000000000	1.0000000000	0.0	0.018542920314878072
2010	3	0	3	0.0000000000	1.0000000000	0.0	0.0072802194038751045
2011	0	0	0	NaN	NaN	0.0	0.0
2012	1	0	1	0.0000000000	1.0000000000	0.0	0.0034433673300662757
2013	1	0	1	0.0000000000	1.0000000000	0.0	0.004813182390136657
2014	5	0	5	0.0000000000	1.0000000000	0.0	0.036089072016068015
2015	0	0	0	NaN	NaN	0.0	0.0
2016	0	0	0	NaN	NaN	0.0	0.0
2017	0	0	0	NaN	NaN	0.0	0.0
2018	1	0	1	0.0000000000	1.0000000000	0.0	0.01768341092342489
2019	3	0	3	0.0000000000	1.0000000000	0.0	0.06554120188669525
2020	0	0	0	NaN	NaN	0.0	0.0
2021	0	0	0	NaN	NaN	0.0	0.0
2022	0	0	0	NaN	NaN	0.0	0.0
