period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	22	0	22	0.0000000000	1.0000000000	0.0	3.2142770002555348
2004	226	0	226	0.0000000000	1.0000000000	0.0	2.3428973790836363
2005	608	0	608	0.0000000000	1.0000000000	0.0	2.6163793168553564
2006	1335	3	1332	0.0022471910	0.9977528090	0.006394685978436428	2.8392405744257743
2007	1717	4	1713	0.0023296447	0.9976703553	0.006299749039417417	2.6978675261305085
2008	1710	12	1698	0.0070175439	0.9929824561	0.01926951055085109	2.7266357429454295
2009	1528	4	1524	0.0026178010	0.9973821990	0.006742880114501117	2.5690373236249253
2010	915	2	913	0.0021857923	0.9978142077	0.004853479602583404	2.215613438579324
2011	839	2	837	0.0023837902	0.9976162098	0.00554486882205791	2.3205276020312353
2012	732	3	729	0.0040983607	0.9959016393	0.010330101990198827	2.510214783618315
2013	507	4	503	0.0078895464	0.9921104536	0.01925272956054663	2.4210307422387385
2014	366	0	366	0.0000000000	1.0000000000	0.0	2.641720071576178
2015	203	0	203	0.0000000000	1.0000000000	0.0	2.2857440631204056
2016	149	1	148	0.0067114094	0.9932885906	0.01563480888822625	2.313951715457485
2017	121	1	120	0.0082644628	0.9917355372	0.016245401211211624	1.9494481453453953
2018	122	0	122	0.0000000000	1.0000000000	0.0	2.1573761326578365
2019	111	0	111	0.0000000000	1.0000000000	0.0	2.4250244698077243
2020	85	1	84	0.0117647059	0.9882352941	0.02397704744383934	2.014071985282505
2021	84	0	84	0.0000000000	1.0000000000	0.0	2.0633568964596947
2022	61	0	61	0.0000000000	1.0000000000	0.0	1.8482636729319877
