period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	2	2	0	1.0000000000	0.0000000000	0.29220700002323047	0.0
2004	38	24	14	0.6315789474	0.3684210526	0.24880326149560741	0.14513523587243765
2005	76	42	34	0.5526315789	0.4473684211	0.1807367291248766	0.14631068548204296
2006	196	98	98	0.5000000000	0.5000000000	0.20889307529558998	0.20889307529558998
2007	241	143	98	0.5933609959	0.4066390041	0.22521602815917263	0.1543438514657267
2008	223	120	103	0.5381165919	0.4618834081	0.1926951055085109	0.16539663222813852
2009	195	92	103	0.4717948718	0.5282051282	0.1550862426335257	0.17362916294840378
2010	131	74	57	0.5648854962	0.4351145038	0.17957874529558593	0.138324168673627
2011	103	64	39	0.6213592233	0.3786407767	0.17743580230585312	0.10812494203012923
2012	101	68	33	0.6732673267	0.3267326733	0.23414897844450674	0.11363112189218709
2013	43	27	16	0.6279069767	0.3720930233	0.12995592453368976	0.07701091824218652
2014	30	21	9	0.7000000000	0.3000000000	0.15157410246748565	0.06496032962892243
2015	30	20	10	0.6666666667	0.3333333333	0.22519645942072963	0.11259822971036482
2016	16	10	6	0.6250000000	0.3750000000	0.1563480888822625	0.09380885332935751
2017	14	10	4	0.7142857143	0.2857142857	0.16245401211211627	0.0649816048448465
2018	17	15	2	0.8823529412	0.1176470588	0.2652511638513734	0.03536682184684978
2019	5	4	1	0.8000000000	0.2000000000	0.08738826918226034	0.021847067295565084
2020	12	8	4	0.6666666667	0.3333333333	0.19181637955071473	0.09590818977535737
2021	4	2	2	0.5000000000	0.5000000000	0.04912754515380226	0.04912754515380226
2022	4	1	3	0.2500000000	0.7500000000	0.030299404474294876	0.09089821342288465
