period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	63046	60741	2305	0.9634393935	0.0365606065	8874.47269420552	336.7685675267731
2004	754911	722664	32247	0.9572837063	0.0427162937	7491.715006894235	334.2982822270355
2005	1797703	1719258	78445	0.9563637598	0.0436362402	7398.406367661359	337.56887419526055
2006	3729010	3535755	193255	0.9481752529	0.0518247471	7536.680973895498	411.93501292091065
2007	5116049	4855788	260261	0.9491285169	0.0508714831	7647.561447153654	409.894746186954
2008	5007889	4782792	225097	0.9550515197	0.0449484803	7680.171742210516	361.45908470541065
2009	4936575	4756385	180190	0.9634989846	0.0365010154	8017.933458352848	303.74989195798906
2010	3552546	3451286	101260	0.9714964986	0.0285035014	8375.37310184083	245.7316722787977
2011	3247995	3169797	78198	0.9759242240	0.0240757760	8788.054278776348	216.7988260736422
2012	2721751	2667608	54143	0.9801072912	0.0198927088	9185.554236623439	186.43423735177836
2013	2014726	1981973	32753	0.9837431988	0.0162568012	9539.59754132632	157.64616282414593
2014	1362506	1343044	19462	0.9857160262	0.0142839738	9693.842327349608	140.4731039153431
2015	886050	877007	9043	0.9897940297	0.0102059703	9874.943564359792	101.82257912708289
2016	639670	631068	8602	0.9865524411	0.0134475589	9866.627575475164	134.49062605652222
2017	625085	617742	7343	0.9882527976	0.0117472024	10035.466635016293	119.28998109392698
2018	585691	580415	5276	0.9909918370	0.0090081630	10263.716951119657	93.29767603198972
2019	475081	470281	4800	0.9898964598	0.0101035402	10274.260654825644	104.86592301871241
2020	430681	427783	2898	0.9932711218	0.0067288782	10256.973286667924	69.4854834922464
2021	414940	412730	2210	0.9946739288	0.0053260712	10138.205855664402	54.28593739495149
2022	333307	331505	1802	0.9945935729	0.0054064271	10044.404080251123	54.59952686267937
