period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	0	0	0	NaN	NaN	0.0	0.0
2005	0	0	0	NaN	NaN	0.0	0.0
2006	0	0	0	NaN	NaN	0.0	0.0
2007	0	0	0	NaN	NaN	0.0	0.0
2008	0	0	0	NaN	NaN	0.0	0.0
2009	2	1	1	0.5000000000	0.5000000000	0.11285427071595314	0.11285427071595314
2010	0	0	0	NaN	NaN	0.0	0.0
2011	0	0	0	NaN	NaN	0.0	0.0
2012	0	0	0	NaN	NaN	0.0	0.0
2013	1	1	0	1.0000000000	0.0000000000	0.07164430265877739	0.0
2014	2	0	2	0.0000000000	1.0000000000	0.0	0.1244129651995164
2015	3	1	2	0.3333333333	0.6666666667	0.05208303494094565	0.1041660698818913
2016	4	0	4	0.0000000000	1.0000000000	0.0	0.18414587778634006
2017	0	0	0	NaN	NaN	0.0	0.0
2018	0	0	0	NaN	NaN	0.0	0.0
2019	1	0	1	0.0000000000	1.0000000000	0.0	0.05479012532912428
2020	1	1	0	1.0000000000	0.0000000000	0.06250346503584292	0.0
2021	0	0	0	NaN	NaN	0.0	0.0
2022	0	0	0	NaN	NaN	0.0	0.0
2023	1	0	1	0.0000000000	1.0000000000	0.0	0.1333066364576054
