verb2	abs	ipm
_total_	50	0.061631788222841245
få	10	0.01232635764456825
skriva	3	0.003697907293370475
göra	3	0.003697907293370475
ta	3	0.003697907293370475
ha	3	0.003697907293370475
kunna	2	0.0024652715289136496
bryta	2	0.0024652715289136496
tuffa	2	0.0024652715289136496
gå	2	0.0024652715289136496
söka	2	0.0024652715289136496
utveckla	1	0.0012326357644568248
bestämma	1	0.0012326357644568248
leva	1	0.0012326357644568248
se	1	0.0012326357644568248
tala	1	0.0012326357644568248
dricka	1	0.0012326357644568248
hitta	1	0.0012326357644568248
analysera	1	0.0012326357644568248
satsa	1	0.0012326357644568248
bearbeta	1	0.0012326357644568248
vinna	1	0.0012326357644568248
vara	1	0.0012326357644568248
kontakta	1	0.0012326357644568248
agera	1	0.0012326357644568248
träna	1	0.0012326357644568248
“	1	0.0012326357644568248
fundera	1	0.0012326357644568248
handla	1	0.0012326357644568248
