period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	13	0	13	0.0000000000	1.0000000000	0.0	29.07048250292382
2005	141	1	140	0.0070921986	0.9929078014	0.30297099416296086	42.41593918281451
2006	144	0	144	0.0000000000	1.0000000000	0.0	34.51490144917046
2007	248	0	248	0.0000000000	1.0000000000	0.0	44.81645313192915
2008	359	1	358	0.0027855153	0.9972144847	0.12997867050017092	46.53236403906119
2009	471	1	470	0.0021231423	0.9978768577	0.11285427071595314	53.04150723649797
2010	614	0	614	0.0000000000	1.0000000000	0.0	62.18771940414847
2011	637	1	636	0.0015698587	0.9984301413	0.10721487490597256	68.18866044019855
2012	774	0	774	0.0000000000	1.0000000000	0.0	81.11009752598483
2013	1252	0	1252	0.0000000000	1.0000000000	0.0	89.6986669287893
2014	1592	4	1588	0.0025125628	0.9974874372	0.2488259303990328	98.78389436841603
2015	2228	2	2226	0.0008976661	0.9991023339	0.1041660698818913	115.93683577854502
2016	2551	0	2551	0.0000000000	1.0000000000	0.0	117.43903355823836
2017	2772	5	2767	0.0018037518	0.9981962482	0.23619192483428184	130.70861120329155
2018	2699	4	2695	0.0014820304	0.9985179696	0.2127980356187736	143.3726764981487
2019	2598	1	2597	0.0003849115	0.9996150885	0.05479012532912428	142.28995547973577
2020	2539	2	2537	0.0007877117	0.9992122883	0.12500693007168584	158.57129079593352
2021	2349	1	2348	0.0004257131	0.9995742869	0.06684616198081755	156.95478833095962
2022	2526	0	2526	0.0000000000	1.0000000000	0.0	180.47473428739164
2023	1427	1	1426	0.0007007708	0.9992992292	0.1333066364576054	190.09526358854535
