period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	6	0	6	0.0000000000	1.0000000000	0.0	13.417145770580225
2005	79	1	78	0.0126582278	0.9873417722	0.30297099416296086	23.631737544710944
2006	53	0	53	0.0000000000	1.0000000000	0.0	12.70340122781968
2007	131	0	131	0.0000000000	1.0000000000	0.0	23.67320709791419
2008	180	1	179	0.0055555556	0.9944444444	0.12997867050017092	23.266182019530596
2009	238	1	237	0.0042016807	0.9957983193	0.11285427071595314	26.746462159680895
2010	297	0	297	0.0000000000	1.0000000000	0.0	30.081030395817745
2011	330	1	329	0.0030303030	0.9969696970	0.10721487490597256	35.27369384406497
2012	398	0	398	0.0000000000	1.0000000000	0.0	41.70777624721184
2013	692	0	692	0.0000000000	1.0000000000	0.0	49.57785743987395
2014	831	0	831	0.0000000000	1.0000000000	0.0	51.693587040399066
2015	1207	1	1206	0.0008285004	0.9991714996	0.05208303494094565	62.81214013878046
2016	1379	0	1379	0.0000000000	1.0000000000	0.0	63.484291366840736
2017	1478	3	1475	0.0020297700	0.9979702300	0.1417151549005691	69.67661782611314
2018	1380	1	1379	0.0007246377	0.9992753623	0.0531995089046934	73.3621227795722
2019	1401	1	1400	0.0007137759	0.9992862241	0.05479012532912428	76.70617546077399
2020	1296	0	1296	0.0000000000	1.0000000000	0.0	81.00449068645243
2021	1256	0	1256	0.0000000000	1.0000000000	0.0	83.95877944790685
2022	1311	0	1311	0.0000000000	1.0000000000	0.0	93.66681577623534
2023	735	0	735	0.0000000000	1.0000000000	0.0	97.98037779633998
