period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	2	2	0	1.0000000000	0.0000000000	4.472381923526742	0.0
2005	3	3	0	1.0000000000	0.0000000000	0.9089129824888825	0.0
2006	3	3	0	1.0000000000	0.0000000000	0.7190604468577179	0.0
2007	5	5	0	1.0000000000	0.0000000000	0.9035575228211523	0.0
2008	11	8	3	0.7272727273	0.2727272727	1.0398293640013674	0.38993601150051277
2009	11	10	1	0.9090909091	0.0909090909	1.1285427071595313	0.11285427071595314
2010	10	10	0	1.0000000000	0.0000000000	1.0128293062564897	0.0
2011	14	12	2	0.8571428571	0.1428571429	1.2865784988716706	0.21442974981194513
2012	2	2	0	1.0000000000	0.0000000000	0.2095868153126223	0.0
2013	19	15	4	0.7894736842	0.2105263158	1.0746645398816608	0.28657721063510955
2014	20	19	1	0.9500000000	0.0500000000	1.181923169395406	0.0622064825997582
2015	25	24	1	0.9600000000	0.0400000000	1.2499928385826955	0.05208303494094565
2016	37	36	1	0.9729729730	0.0270270270	1.6573129000770606	0.046036469446585015
2017	37	37	0	1.0000000000	0.0000000000	1.7478202437736856	0.0
2018	17	17	0	1.0000000000	0.0000000000	0.9043916513797877	0.0
2019	31	30	1	0.9677419355	0.0322580645	1.6437037598737285	0.05479012532912428
2020	25	25	0	1.0000000000	0.0000000000	1.5625866258960732	0.0
2021	17	17	0	1.0000000000	0.0000000000	1.1363847536738985	0.0
2022	16	16	0	1.0000000000	0.0000000000	1.1431495441798363	0.0
2023	10	10	0	1.0000000000	0.0000000000	1.333066364576054	0.0
