period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	2	2	0	1.0000000000	0.0000000000	4.472381923526742	0.0
2005	0	0	0	NaN	NaN	0.0	0.0
2006	2	2	0	1.0000000000	0.0000000000	0.4793736312384786	0.0
2007	2	2	0	1.0000000000	0.0000000000	0.3614230091284609	0.0
2008	3	3	0	1.0000000000	0.0000000000	0.38993601150051277	0.0
2009	5	4	1	0.8000000000	0.2000000000	0.45141708286381255	0.11285427071595314
2010	4	4	0	1.0000000000	0.0000000000	0.4051317225025959	0.0
2011	10	9	1	0.9000000000	0.1000000000	0.9649338741537529	0.10721487490597256
2012	0	0	0	NaN	NaN	0.0	0.0
2013	12	9	3	0.7500000000	0.2500000000	0.6447987239289965	0.21493290797633216
2014	9	9	0	1.0000000000	0.0000000000	0.5598583433978238	0.0
2015	13	13	0	1.0000000000	0.0000000000	0.6770794542322934	0.0
2016	25	24	1	0.9600000000	0.0400000000	1.1048752667180404	0.046036469446585015
2017	16	16	0	1.0000000000	0.0000000000	0.755814159469702	0.0
2018	8	8	0	1.0000000000	0.0000000000	0.4255960712375472	0.0
2019	21	20	1	0.9523809524	0.0476190476	1.0958025065824857	0.05479012532912428
2020	19	19	0	1.0000000000	0.0000000000	1.1875658356810155	0.0
2021	10	10	0	1.0000000000	0.0000000000	0.6684616198081755	0.0
2022	10	10	0	1.0000000000	0.0000000000	0.7144684651123976	0.0
2023	3	3	0	1.0000000000	0.0000000000	0.3999199093728163	0.0
