period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	16	0	16	0.0000000000	1.0000000000	0.0	35.77905538821393
2005	111	0	111	0.0000000000	1.0000000000	0.0	33.62978035208865
2006	131	0	131	0.0000000000	1.0000000000	0.0	31.398972846120348
2007	203	1	202	0.0049261084	0.9950738916	0.18071150456423046	36.503723921974554
2008	317	0	317	0.0000000000	1.0000000000	0.0	41.20323854855418
2009	336	0	336	0.0000000000	1.0000000000	0.0	37.91903496056025
2010	560	0	560	0.0000000000	1.0000000000	0.0	56.718441150363425
2011	432	0	432	0.0000000000	1.0000000000	0.0	46.31682595938015
2012	530	0	530	0.0000000000	1.0000000000	0.0	55.540506057844915
2013	755	0	755	0.0000000000	1.0000000000	0.0	54.09144850737693
2014	1011	0	1011	0.0000000000	1.0000000000	0.0	62.89075390835555
2015	1218	0	1218	0.0000000000	1.0000000000	0.0	63.4371365580718
2016	1608	0	1608	0.0000000000	1.0000000000	0.0	74.02664287010869
2017	1548	0	1548	0.0000000000	1.0000000000	0.0	73.12501992869365
2018	1295	2	1293	0.0015444015	0.9984555985	0.1063990178093868	68.78696501376857
2019	1178	1	1177	0.0008488964	0.9991511036	0.05479012532912428	64.48797751237927
2020	1396	0	1396	0.0000000000	1.0000000000	0.0	87.25483719003672
2021	998	0	998	0.0000000000	1.0000000000	0.0	66.71246965685592
2022	817	0	817	0.0000000000	1.0000000000	0.0	58.37207359968289
2023	488	0	488	0.0000000000	1.0000000000	0.0	65.05363859131145
