verb2	abs	ipm
_total_	63428	78.1836212679675
bli	7802	9.617024234292147
få	1978	2.4381535420955998
gälla	1975	2.4344556348022297
ta	1894	2.3346121378812263
närma	1511	1.8625126400942627
komma	1352	1.6665235535456273
gå	1277	1.5740758712113656
se	1241	1.5297009836909197
brinna	1076	1.3263160825555438
jobba	802	0.9885738830943737
prata	801	0.9873412473299169
ge	631	0.7777931673722566
känna	625	0.7703973527855156
spela	610	0.7519078163186632
dra	595	0.7334182798518109
fundera	547	0.6742517631578833
arbeta	529	0.6520643193976604
tänka	495	0.6101547034061284
likna	473	0.5830367165880782
röra	470	0.5793388092947077
göra	466	0.5744082662368805
tala	465	0.5731756304724236
växa	429	0.5288007429519779
använda	413	0.5090785707206686
rulla	388	0.4782626766092481
förstå	369	0.4548425970845684
falla	365	0.4499120540267411
sälja	343	0.42279406720869095
läsa	325	0.40060662344846815
träna	303	0.3734886366304179
hitta	302	0.3722560008659611
gråta	299	0.3685580935725907
bygga	296	0.36486018627922023
inse	289	0.35623173592802243
skriva	278	0.3426727425189973
visa	261	0.32171793452323133
slå	257	0.316787391465404
stiga	245	0.30199576229192215
tröttna	244	0.3007631265274653
fungera	237	0.29213467617626754
berätta	234	0.28843676888289704
rinna	227	0.27980831853169924
titta	227	0.27980831853169924
hända	226	0.2785756827672424
sjunga	223	0.27487777547387193
blåsa	222	0.2736451397094152
diskutera	221	0.27241250394495836
ställa	221	0.27241250394495836
undra	215	0.26501668935821737
leta	212	0.2613187820648469
tappa	210	0.25885351053593325
sätta	203	0.25022506018473545
sprida	201	0.24775978865582185
höja	201	0.24775978865582185
regna	197	0.24282924559799454
studera	188	0.2317355237178831
tro	187	0.23050288795342627
röka	186	0.22927025218896946
dyka	185	0.22803761642451262
köra	179	0.22064180183777166
lägga	177	0.218176530308858
betala	177	0.218176530308858
vända	172	0.2120133514865739
sjunka	170	0.20954807995766025
öka	169	0.20831544419320341
äta	166	0.20461753689983295
nå	158	0.19475645078417836
söka	156	0.1922911792552647
leva	149	0.18366272890406693
flyga	149	0.18366272890406693
räkna	147	0.18119745737515328
skratta	144	0.17749955008178278
ifrågasätta	142	0.17503427855286913
samarbeta	140	0.17256900702395547
minska	135	0.16640582820167138
släppa	134	0.16517319243721454
återhämta	132	0.16270792090830088
sända	131	0.16147528514384407
springa	131	0.16147528514384407
tvivla	130	0.16024264937938723
snurra	126	0.15531210632155992
smälta	126	0.15531210632155992
planera	125	0.1540794705571031
tryta	125	0.1540794705571031
vänja	122	0.15038156326373264
vara	118	0.14545102020590533
lukta	117	0.14421838444144852
gräva	117	0.14421838444144852
agera	113	0.1392878413836212
tycka	113	0.1392878413836212
ana	113	0.1392878413836212
ringa	113	0.1392878413836212
skjuta	112	0.13805520561916437
förhandla	112	0.13805520561916437
handla	111	0.1368225698547076
avta	111	0.1368225698547076
bråka	109	0.13435729832579393
dricka	107	0.13189202679688028
dansa	107	0.13189202679688028
läcka	105	0.12942675526796663
lära	104	0.12819411950350978
säga	103	0.12696148373905297
köpa	103	0.12696148373905297
blomma	103	0.12696148373905297
