period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	5	0	5	0.0000000000	1.0000000000	0.0	11.180954808816853
2005	82	4	78	0.0487804878	0.9512195122	1.2118839766518434	23.631737544710944
2006	93	0	93	0.0000000000	1.0000000000	0.0	22.290873852589254
2007	151	0	151	0.0000000000	1.0000000000	0.0	27.2874371891988
2008	224	3	221	0.0133928571	0.9866071429	0.38993601150051277	28.725286180537775
2009	292	4	288	0.0136986301	0.9863013699	0.45141708286381255	32.502029966194506
2010	375	4	371	0.0106666667	0.9893333333	0.4051317225025959	37.57596726211577
2011	359	5	354	0.0139275766	0.9860724234	0.5360743745298627	37.95406571671429
2012	378	10	368	0.0264550265	0.9735449735	1.0479340765631115	38.563974017522504
2013	476	13	463	0.0273109244	0.9726890756	0.931375934564106	33.171312131013934
2014	588	13	575	0.0221088435	0.9778911565	0.8086842737968566	35.76872749486097
2015	768	15	753	0.0195312500	0.9804687500	0.7812455241141848	39.21852531053207
2016	832	13	819	0.0156250000	0.9843750000	0.5984741028056051	37.70386847675313
2017	884	10	874	0.0113122172	0.9886877828	0.47238384966856367	41.28634846103247
2018	846	16	830	0.0189125296	0.9810874704	0.8511921424750944	44.15559239089552
2019	702	13	689	0.0185185185	0.9814814815	0.7122716292786156	37.75039635176663
2020	696	10	686	0.0143678161	0.9856321839	0.6250346503584293	42.87737701458825
2021	555	6	549	0.0108108108	0.9891891892	0.4010769718849053	36.698542927468836
2022	545	4	541	0.0073394495	0.9926605505	0.28578738604495907	38.652743962580715
2023	286	4	282	0.0139860140	0.9860139860	0.5332265458304216	37.59247148104473
