period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	0	0	0	NaN	NaN	0.0	0.0
2005	2	1	1	0.5000000000	0.5000000000	0.30297099416296086	0.30297099416296086
2006	4	1	3	0.2500000000	0.7500000000	0.2396868156192393	0.7190604468577179
2007	5	4	1	0.8000000000	0.2000000000	0.7228460182569219	0.18071150456423046
2008	7	5	2	0.7142857143	0.2857142857	0.6498933525008547	0.25995734100034185
2009	10	4	6	0.4000000000	0.6000000000	0.45141708286381255	0.6771256242957189
2010	16	5	11	0.3125000000	0.6875000000	0.5064146531282449	1.1141122368821386
2011	10	1	9	0.1000000000	0.9000000000	0.10721487490597256	0.9649338741537529
2012	15	6	9	0.4000000000	0.6000000000	0.628760445937867	0.9431406689068004
2013	20	5	15	0.2500000000	0.7500000000	0.35822151329388696	1.0746645398816608
2014	13	5	8	0.3846153846	0.6153846154	0.31103241299879103	0.4976518607980656
2015	10	3	7	0.3000000000	0.7000000000	0.15624910482283694	0.36458124458661956
2016	26	7	19	0.2692307692	0.7307692308	0.32225528612609505	0.8746929194851153
2017	21	11	10	0.5238095238	0.4761904762	0.51962223463542	0.47238384966856367
2018	8	4	4	0.5000000000	0.5000000000	0.2127980356187736	0.2127980356187736
2019	15	5	10	0.3333333333	0.6666666667	0.2739506266456214	0.5479012532912428
2020	11	6	5	0.5454545455	0.4545454545	0.3750207902150575	0.31251732517921466
2021	6	4	2	0.6666666667	0.3333333333	0.2673846479232702	0.1336923239616351
2022	2	2	0	1.0000000000	0.0000000000	0.14289369302247953	0.0
2023	2	0	2	0.0000000000	1.0000000000	0.0	0.2666132729152108
