period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	0	0	0	NaN	NaN	0.0	0.0
2005	2	1	1	0.5000000000	0.5000000000	0.30297099416296086	0.30297099416296086
2006	1	1	0	1.0000000000	0.0000000000	0.2396868156192393	0.0
2007	5	4	1	0.8000000000	0.2000000000	0.7228460182569219	0.18071150456423046
2008	6	4	2	0.6666666667	0.3333333333	0.5199146820006837	0.25995734100034185
2009	4	1	3	0.2500000000	0.7500000000	0.11285427071595314	0.33856281214785944
2010	10	3	7	0.3000000000	0.7000000000	0.3038487918769469	0.7089805143795428
2011	4	0	4	0.0000000000	1.0000000000	0.0	0.42885949962389025
2012	10	4	6	0.4000000000	0.6000000000	0.4191736306252446	0.628760445937867
2013	13	3	10	0.2307692308	0.7692307692	0.21493290797633216	0.7164430265877739
2014	11	5	6	0.4545454545	0.5454545455	0.31103241299879103	0.3732388955985492
2015	3	1	2	0.3333333333	0.6666666667	0.05208303494094565	0.1041660698818913
2016	8	1	7	0.1250000000	0.8750000000	0.046036469446585015	0.32225528612609505
2017	11	5	6	0.4545454545	0.5454545455	0.23619192483428184	0.2834303098011382
2018	5	4	1	0.8000000000	0.2000000000	0.2127980356187736	0.0531995089046934
2019	7	2	5	0.2857142857	0.7142857143	0.10958025065824856	0.2739506266456214
2020	7	4	3	0.5714285714	0.4285714286	0.2500138601433717	0.18751039510752876
2021	5	3	2	0.6000000000	0.4000000000	0.20053848594245266	0.1336923239616351
2022	1	1	0	1.0000000000	0.0000000000	0.07144684651123977	0.0
2023	1	0	1	0.0000000000	1.0000000000	0.0	0.1333066364576054
