verb2	abs	ipm
_total_	518	0.6385053259886353
ta	42	0.05177070210718665
nämna	24	0.0295832583469638
stänga	23	0.028350622582506976
berätta	19	0.023420079524679675
äta	15	0.018489536466852374
betala	14	0.017256900702395547
titta	12	0.0147916291734819
fråga	11	0.013558993409025076
låsa	10	0.01232635764456825
säga	10	0.01232635764456825
tänka	10	0.01232635764456825
se	9	0.011093721880111424
lägga	9	0.011093721880111424
dra	9	0.011093721880111424
tala	8	0.009861086115654599
sätta	8	0.009861086115654599
leva	8	0.009861086115654599
vara	7	0.008628450351197773
lämna	7	0.008628450351197773
skriva	7	0.008628450351197773
göra	6	0.00739581458674095
hålla	6	0.00739581458674095
gå	6	0.00739581458674095
släcka	6	0.00739581458674095
anmäla	6	0.00739581458674095
använda	5	0.006163178822284125
blinka	5	0.006163178822284125
skicka	5	0.006163178822284125
slå	4	0.004930543057827299
meddela	4	0.004930543057827299
dricka	4	0.004930543057827299
registrera	4	0.004930543057827299
trycka	4	0.004930543057827299
ge	4	0.004930543057827299
hämta	3	0.003697907293370475
fylla	3	0.003697907293370475
visa	3	0.003697907293370475
ifrågasätta	3	0.003697907293370475
ändra	3	0.003697907293370475
vattna	3	0.003697907293370475
deklarera	3	0.003697907293370475
ha	3	0.003697907293370475
ställa	3	0.003697907293370475
räkna	3	0.003697907293370475
köpa	3	0.003697907293370475
få	2	0.0024652715289136496
välja	2	0.0024652715289136496
känna	2	0.0024652715289136496
utnyttja	2	0.0024652715289136496
skydda	2	0.0024652715289136496
förnya	2	0.0024652715289136496
vända	2	0.0024652715289136496
lyssna	2	0.0024652715289136496
formulera	2	0.0024652715289136496
checka	2	0.0024652715289136496
spela	2	0.0024652715289136496
besvara	2	0.0024652715289136496
leta	2	0.0024652715289136496
försvara	2	0.0024652715289136496
radera	2	0.0024652715289136496
njuta	2	0.0024652715289136496
fokusera	2	0.0024652715289136496
avsluta	2	0.0024652715289136496
reflektera	2	0.0024652715289136496
föra	2	0.0024652715289136496
bjuda	2	0.0024652715289136496
påpeka	2	0.0024652715289136496
spara	2	0.0024652715289136496
gestalta	1	0.0012326357644568248
fastställa	1	0.0012326357644568248
betala	1	0.0012326357644568248
variera	1	0.0012326357644568248
tvätta	1	0.0012326357644568248
tilltala	1	0.0012326357644568248
skriva	1	0.0012326357644568248
promenera	1	0.0012326357644568248
fälla	1	0.0012326357644568248
bocka	1	0.0012326357644568248
ringa	1	0.0012326357644568248
redovisa	1	0.0012326357644568248
kliva	1	0.0012326357644568248
skråla	1	0.0012326357644568248
skaffa	1	0.0012326357644568248
återlämna	1	0.0012326357644568248
upptäcka	1	0.0012326357644568248
tanka	1	0.0012326357644568248
stanna	1	0.0012326357644568248
diska	1	0.0012326357644568248
underteckna	1	0.0012326357644568248
laga	1	0.0012326357644568248
basunera	1	0.0012326357644568248
anpassa	1	0.0012326357644568248
hantera	1	0.0012326357644568248
smörja	1	0.0012326357644568248
rensa	1	0.0012326357644568248
flyga	1	0.0012326357644568248
stänga	1	0.0012326357644568248
lyfta	1	0.0012326357644568248
kryssa	1	0.0012326357644568248
värna	1	0.0012326357644568248
tända	1	0.0012326357644568248
rapportera	1	0.0012326357644568248
informera	1	0.0012326357644568248
buga	1	0.0012326357644568248
kontrollera	1	0.0012326357644568248
ropa	1	0.0012326357644568248
knäppa	1	0.0012326357644568248
fimpa	1	0.0012326357644568248
växla	1	0.0012326357644568248
skildra	1	0.0012326357644568248
ringa	1	0.0012326357644568248
värdesätta	1	0.0012326357644568248
torka	1	0.0012326357644568248
svänga	1	0.0012326357644568248
sticka	1	0.0012326357644568248
fylla	1	0.0012326357644568248
söka	1	0.0012326357644568248
bygga	1	0.0012326357644568248
dokumentera	1	0.0012326357644568248
pausa	1	0.0012326357644568248
ladda	1	0.0012326357644568248
leverera	1	0.0012326357644568248
följa	1	0.0012326357644568248
teckna	1	0.0012326357644568248
larma	1	0.0012326357644568248
inleda	1	0.0012326357644568248
begära	1	0.0012326357644568248
sprita	1	0.0012326357644568248
prioritera	1	0.0012326357644568248
utrusta	1	0.0012326357644568248
tömma	1	0.0012326357644568248
peka	1	0.0012326357644568248
njuta	1	0.0012326357644568248
tacka	1	0.0012326357644568248
putsa	1	0.0012326357644568248
efterdra	1	0.0012326357644568248
vrida	1	0.0012326357644568248
realisera	1	0.0012326357644568248
koppla	1	0.0012326357644568248
klappa	1	0.0012326357644568248
diskutera	1	0.0012326357644568248
be	1	0.0012326357644568248
ange	1	0.0012326357644568248
höja	1	0.0012326357644568248
spola	1	0.0012326357644568248
handla	1	0.0012326357644568248
fundera	1	0.0012326357644568248
avkräva	1	0.0012326357644568248
blogga	1	0.0012326357644568248
presentera	1	0.0012326357644568248
pipa	1	0.0012326357644568248
kopiera	1	0.0012326357644568248
byta	1	0.0012326357644568248
understryka	1	0.0012326357644568248
ligga	1	0.0012326357644568248
korrigera	1	0.0012326357644568248
klistra	1	0.0012326357644568248
handla	1	0.0012326357644568248
applådera	1	0.0012326357644568248
tillägga	1	0.0012326357644568248
nominera	1	0.0012326357644568248
brinna	1	0.0012326357644568248
bjuda	1	0.0012326357644568248
agera	1	0.0012326357644568248
öppna	1	0.0012326357644568248
städa	1	0.0012326357644568248
förklara	1	0.0012326357644568248
flytta	1	0.0012326357644568248
beskära	1	0.0012326357644568248
tillföra	1	0.0012326357644568248
skapa	1	0.0012326357644568248
duscha	1	0.0012326357644568248
beskriva	1	0.0012326357644568248
amortera	1	0.0012326357644568248
säkra	1	0.0012326357644568248
höra	1	0.0012326357644568248
