verb2	abs	ipm
_total_	1510	1.861280004329806
lämna	98	0.12079830491676884
stämma	73	0.08998241080534822
stoppa	69	0.08505186774752091
dra	65	0.08012132468969362
stänga	55	0.06779496704512537
bryta	52	0.06409705975175489
hoppa	47	0.05793388092947078
slå	40	0.049305430578273
bli	36	0.044374887520445695
ta	34	0.04190961599153205
bojkotta	33	0.04067698022707522
säga	28	0.03451380140479109
lägga	23	0.028350622582506976
spränga	21	0.025885351053593325
gå	19	0.023420079524679675
döda	18	0.022187443760222848
sprida	17	0.020954807995766024
flytta	16	0.019722172231309197
stjälpa	15	0.018489536466852374
leda	14	0.017256900702395547
avbryta	13	0.016024264937938723
lamslå	12	0.0147916291734819
skjuta	11	0.013558993409025076
anmäla	11	0.013558993409025076
sluta	11	0.013558993409025076
ställa	11	0.013558993409025076
fälla	11	0.013558993409025076
förstöra	10	0.01232635764456825
avgå	10	0.01232635764456825
använda	9	0.011093721880111424
angripa	9	0.011093721880111424
brista	9	0.011093721880111424
införa	8	0.009861086115654599
spräcka	8	0.009861086115654599
utesluta	8	0.009861086115654599
blockera	8	0.009861086115654599
sätta	8	0.009861086115654599
stämma	8	0.009861086115654599
sänka	7	0.008628450351197773
polisanmäla	7	0.008628450351197773
kollapsa	7	0.008628450351197773
släppa	7	0.008628450351197773
kasta	7	0.008628450351197773
skapa	7	0.008628450351197773
riva	6	0.00739581458674095
rasa	6	0.00739581458674095
attackera	6	0.00739581458674095
stänga	6	0.00739581458674095
halshugga	5	0.006163178822284125
byta	5	0.006163178822284125
tända	5	0.006163178822284125
göra	5	0.006163178822284125
rösta	5	0.006163178822284125
straffa	5	0.006163178822284125
vända	5	0.006163178822284125
ge	5	0.006163178822284125
svämma	5	0.006163178822284125
utlösa	5	0.006163178822284125
lämna	5	0.006163178822284125
avslöja	4	0.004930543057827299
sluka	4	0.004930543057827299
kväva	4	0.004930543057827299
svara	4	0.004930543057827299
stoppa	4	0.004930543057827299
splittra	4	0.004930543057827299
invadera	4	0.004930543057827299
upplösa	4	0.004930543057827299
rasera	4	0.004930543057827299
ingripa	4	0.004930543057827299
inta	4	0.004930543057827299
