period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	12	7	5	0.5833333333	0.4166666667	15.653336732343595	11.180954808816853
2005	85	60	25	0.7058823529	0.2941176471	18.178259649777647	7.57427485407402
2006	87	59	28	0.6781609195	0.3218390805	14.141522121535116	6.7112308373387
2007	111	69	42	0.6216216216	0.3783783784	12.469093814931902	7.589883191697679
2008	106	69	37	0.6509433962	0.3490566038	8.968528264511793	4.809210808506324
2009	104	61	43	0.5865384615	0.4134615385	6.884110513673141	4.852733640785985
2010	129	85	44	0.6589147287	0.3410852713	8.609049103180162	4.456448947528554
2011	87	58	29	0.6666666667	0.3333333333	6.218462744546408	3.109231372273204
2012	88	60	28	0.6818181818	0.3181818182	6.287604459378669	2.9342154143767125
2013	86	51	35	0.5930232558	0.4069767442	3.6538594355976466	2.5075505930572084
2014	125	83	42	0.6640000000	0.3360000000	5.163138055779931	2.6126722691898445
2015	122	78	44	0.6393442623	0.3606557377	4.062476725393761	2.2916535374016087
2016	136	88	48	0.6470588235	0.3529411765	4.051209311299481	2.2097505334360807
2017	89	57	32	0.6404494382	0.3595505618	2.692587943110813	1.511628318939404
2018	73	44	29	0.6027397260	0.3972602740	2.3407783918065093	1.5427857582361086
2019	67	48	19	0.7164179104	0.2835820896	2.629926015797966	1.0410123812533614
2020	57	39	18	0.6842105263	0.3157894737	2.437635136397874	1.1250623706451726
2021	78	52	26	0.6666666667	0.3333333333	3.476000423002513	1.7380002115012565
2022	60	37	23	0.6166666667	0.3833333333	2.6435333209158713	1.6432774697585146
2023	22	14	8	0.6363636364	0.3636363636	1.866292910406476	1.0664530916608432
