verb2	abs	ipm
_total_	75	0.09244768233426189
ta	9	0.011093721880111424
läsa	6	0.00739581458674095
göra	3	0.003697907293370475
bry	3	0.003697907293370475
lägga	3	0.003697907293370475
tillvarata	3	0.003697907293370475
gå	2	0.0024652715289136496
åka	2	0.0024652715289136496
räkna	2	0.0024652715289136496
plocka	2	0.0024652715289136496
schasa	2	0.0024652715289136496
hålla	2	0.0024652715289136496
byta	1	0.0012326357644568248
skyffla	1	0.0012326357644568248
klicka	1	0.0012326357644568248
engagera	1	0.0012326357644568248
diskutera	1	0.0012326357644568248
vänta	1	0.0012326357644568248
skratta	1	0.0012326357644568248
uppträda	1	0.0012326357644568248
stå	1	0.0012326357644568248
böka	1	0.0012326357644568248
lyfta	1	0.0012326357644568248
släppa	1	0.0012326357644568248
slita	1	0.0012326357644568248
gro	1	0.0012326357644568248
leva	1	0.0012326357644568248
lära	1	0.0012326357644568248
jaga	1	0.0012326357644568248
underhålla	1	0.0012326357644568248
lyssna	1	0.0012326357644568248
plöja	1	0.0012326357644568248
söka	1	0.0012326357644568248
ge	1	0.0012326357644568248
närvara	1	0.0012326357644568248
leverera	1	0.0012326357644568248
fråga	1	0.0012326357644568248
driva	1	0.0012326357644568248
vidgå	1	0.0012326357644568248
utveckla	1	0.0012326357644568248
sköta	1	0.0012326357644568248
–	1	0.0012326357644568248
ställa	1	0.0012326357644568248
prata	1	0.0012326357644568248
mobilisera	1	0.0012326357644568248
bära	1	0.0012326357644568248
slänga	1	0.0012326357644568248
kliva	1	0.0012326357644568248
