period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	8	5	3	0.6250000000	0.3750000000	11.180954808816853	6.7085728852901125
2005	36	26	10	0.7222222222	0.2777777778	7.877245848236982	3.0297099416296085
2006	46	28	18	0.6086956522	0.3913043478	6.7112308373387	4.314362681146307
2007	49	35	14	0.7142857143	0.2857142857	6.324902659748067	2.5299610638992265
2008	43	31	12	0.7209302326	0.2790697674	4.029338785505298	1.559744046002051
2009	68	47	21	0.6911764706	0.3088235294	5.304150723649797	2.369939685035016
2010	80	62	18	0.7750000000	0.2250000000	6.279541698790236	1.8230927512616815
2011	71	45	26	0.6338028169	0.3661971831	4.824669370768765	2.7875867475552867
2012	74	53	21	0.7162162162	0.2837837838	5.554050605784491	2.2006615607825344
2013	73	57	16	0.7808219178	0.2191780822	4.0837252515503115	1.1463088425404382
2014	132	94	38	0.7121212121	0.2878787879	5.84740936437727	2.363846338790812
2015	97	74	23	0.7628865979	0.2371134021	3.8541445856299785	1.19790980364175
2016	117	86	31	0.7350427350	0.2649572650	3.9591363724063107	1.4271305528441354
2017	96	71	25	0.7395833333	0.2604166667	3.3539253326468024	1.1809596241714093
2018	77	60	17	0.7792207792	0.2207792208	3.191970534281604	0.9043916513797877
2019	64	47	17	0.7343750000	0.2656250000	2.5751358904688413	0.9314321305951129
2020	40	27	13	0.6750000000	0.3250000000	1.687593555967759	0.812545045465958
2021	67	52	15	0.7761194030	0.2238805970	3.476000423002513	1.0026924297122632
2022	53	44	9	0.8301886792	0.1698113208	3.14366124649455	0.6430216186011579
2023	24	22	2	0.9166666667	0.0833333333	2.9327460020673195	0.2666132729152108
