period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2004	12	11	1	0.9166666667	0.0833333333	24.59810057939708	2.236190961763371
2005	174	158	16	0.9080459770	0.0919540230	47.86941707774781	4.847535906607374
2006	191	171	20	0.8952879581	0.1047120419	40.98644547088992	4.793736312384786
2007	325	295	30	0.9076923077	0.0923076923	53.30989384644799	5.421345136926915
2008	436	393	43	0.9013761468	0.0986238532	51.08161750656718	5.5890828315073495
2009	523	460	63	0.8795411090	0.1204588910	51.912964529338446	7.1098190551050475
2010	561	511	50	0.9108734403	0.0891265597	51.75557754970662	5.064146531282449
2011	509	457	52	0.8978388998	0.1021611002	48.99719783202946	5.575173495110573
2012	491	446	45	0.9083503055	0.0916496945	46.737859814714774	4.715703344534003
2013	698	627	71	0.8982808023	0.1017191977	44.92097776705342	5.086745488773194
2014	737	663	74	0.8995929444	0.1004070556	41.242897963639685	4.603279712382108
2015	912	829	83	0.9089912281	0.0910087719	43.17683596604394	4.322891900098489
2016	910	821	89	0.9021978022	0.0978021978	37.7959414156463	4.097245780746066
2017	838	752	86	0.8973747017	0.1026252983	35.52326549507599	4.0625011071496475
2018	856	755	101	0.8820093458	0.1179906542	40.16562922304352	5.373150399374033
2019	824	739	85	0.8968446602	0.1031553398	40.48990261822284	4.6571606529755645
2020	852	754	98	0.8849765258	0.1150234742	47.127612637025564	6.125339573512607
2021	790	685	105	0.8670886076	0.1329113924	45.78962095686003	7.018847007985843
2022	698	611	87	0.8753581662	0.1246418338	43.6540232183675	6.215875646477859
2023	425	360	65	0.8470588235	0.1529411765	47.99038912473795	8.664931369744354
