verb2	abs	ipm
_total_	7118	8.77390137140368
betala	1026	1.2646842943327024
ta	264	0.32541584181660177
gå	251	0.30939157687866303
se	215	0.26501668935821737
åka	187	0.23050288795342627
vara	187	0.23050288795342627
bli	186	0.22927025218896946
möta	147	0.18119745737515328
stå	141	0.1738016427884123
ha	122	0.15038156326373264
sitta	96	0.1183330333878552
få	94	0.11586776185894156
oroa	92	0.1134024903300279
tänka	90	0.11093721880111425
göra	88	0.10847194727220061
vänta	86	0.10600667574328695
kvala	80	0.098610861156546
lägga	65	0.08012132468969362
höra	64	0.07888868892523679
känna	62	0.07642341739632315
hamna	54	0.06656233128066855
flytta	54	0.06656233128066855
jobba	50	0.061631788222841245
använda	50	0.061631788222841245
byta	48	0.0591665166939276
köpa	47	0.05793388092947078
betala	43	0.05300333787164348
spela	43	0.05300333787164348
ligga	42	0.05177070210718665
hålla	40	0.049305430578273
leva	39	0.048072794813816176
köa	38	0.04684015904935935
bära	38	0.04684015904935935
lämna	36	0.044374887520445695
bygga	36	0.044374887520445695
resa	34	0.04190961599153205
köra	33	0.04067698022707522
uppleva	33	0.04067698022707522
dra	31	0.038211708698161574
leta	30	0.03697907293370475
fundera	30	0.03697907293370475
bekymra	29	0.03574643716924792
söka	27	0.03328116564033427
välja	27	0.03328116564033427
springa	27	0.03328116564033427
växla	27	0.03328116564033427
komma	25	0.030815894111420623
pendla	25	0.030815894111420623
släpa	25	0.030815894111420623
frysa	24	0.0295832583469638
sätta	24	0.0295832583469638
sova	24	0.0295832583469638
stressa	23	0.028350622582506976
läsa	23	0.028350622582506976
riskera	23	0.028350622582506976
ställa	22	0.027117986818050152
lida	22	0.027117986818050152
skatta	22	0.027117986818050152
säga	22	0.027117986818050152
skriva	22	0.027117986818050152
ägna	20	0.0246527152891365
äta	20	0.0246527152891365
skicka	20	0.0246527152891365
bo	20	0.0246527152891365
dela	18	0.022187443760222848
arbeta	17	0.020954807995766024
höja	17	0.020954807995766024
avtjäna	17	0.020954807995766024
konkurrera	16	0.019722172231309197
bry	16	0.019722172231309197
