verb2	abs	ipm
_total_	19216	23.68632884980235
ta	1752	2.1595778593283574
gå	1006	1.2400315790435659
säga	1002	1.2351010359857386
vara	728	0.8973588365245686
satsa	682	0.8406575913595546
göra	519	0.6397379617530922
stå	499	0.6150852464639556
prata	437	0.5386618290676325
berätta	417	0.514009113778496
tro	330	0.4067698022707522
påstå	329	0.4055371665062954
ställa	265	0.32664847758105864
anmäla	265	0.32664847758105864
visa	264	0.32541584181660177
tala	256	0.31555475570094715
lita	249	0.3069263053497494
släppa	242	0.29829785499855166
ge	241	0.29706521923409485
utmana	227	0.27980831853169924
komma	184	0.2268049806600558
sätta	179	0.22064180183777166
tänka	170	0.20954807995766025
spela	166	0.20461753689983295
sticka	161	0.19845435807754883
se	159	0.19598908654863517
ha	156	0.1922911792552647
söka	149	0.18366272890406693
vittna	141	0.1738016427884123
lämna	139	0.17133637125949866
åka	138	0.17010373549504182
ifrågasätta	126	0.15531210632155992
anställa	125	0.1540794705571031
låta	123	0.15161419902818948
investera	113	0.1392878413836212
bryta	109	0.13435729832579393
använda	109	0.13435729832579393
hålla	107	0.13189202679688028
prova	99	0.12203094068122568
kritisera	98	0.12079830491676884
uttala	97	0.11956566915231202
testa	94	0.11586776185894156
lova	93	0.11463512609448473
köpa	92	0.1134024903300279
fråga	86	0.10600667574328695
träda	86	0.10600667574328695
erkänna	85	0.10477403997883013
öppna	84	0.1035414042143733
skriva	80	0.098610861156546
pröva	72	0.08874977504089139
slå	71	0.08751713927643456
uttrycka	71	0.08751713927643456
köra	69	0.08505186774752091
röra	68	0.0838192319830641
driva	67	0.08258659621860727
möta	67	0.08258659621860727
drömma	66	0.08135396045415044
riskera	66	0.08135396045415044
lägga	64	0.07888868892523679
välja	62	0.07642341739632315
chansa	59	0.07272551010295267
titta	57	0.07026023857403901
starta	57	0.07026023857403901
återvända	56	0.06902760280958219
gissa	55	0.06779496704512537
agera	53	0.06532969551621172
fatta	52	0.06409705975175489
byta	51	0.06286442398729807
fortsätta	51	0.06286442398729807
trotsa	50	0.061631788222841245
vända	49	0.06039915245838442
kliva	49	0.06039915245838442
börja	48	0.0591665166939276
lyfta	47	0.05793388092947078
bjuda	47	0.05793388092947078
bli	46	0.05670124516501395
diskutera	45	0.055468609400557124
närma	44	0.054235973636100304
dra	44	0.054235973636100304
ingripa	43	0.05300333787164348
försöka	41	0.05053806634272982
bygga	41	0.05053806634272982
protestera	40	0.049305430578273
stanna	40	0.049305430578273
låna	40	0.049305430578273
framträda	39	0.048072794813816176
bo	38	0.04684015904935935
följa	36	0.044374887520445695
