year	diff
2004	0.0166666667
2005	0.016339869299999976
2006	-0.07816091950000004
2007	-0.009681323100000028
2008	-0.05772305720000004
2009	-0.006828316599999995
2010	-0.0485251183
2011	-0.026666666700000008
2012	-0.07397504449999998
2013	-0.02405773859999999
2014	0.03296969700000002
2015	-0.0016631029000000463
2016	-0.020392156800000005
2017	-0.0635263613
2018	0.016307893000000018
2019	-0.08483896300000004
2020	0.012759170699999989
2021	0.14912280699999997
2022	-0.07612612619999998
2023	0.05594405590000001
