year	diff
2004	0.04166666670000002
2005	-0.0751633987
2006	0.05797101450000003
2007	0.024844720500000028
2008	-0.09130060299999998
2009	0.08382352940000001
2010	-0.051595744699999974
2011	0.05850487539999999
2012	0.020625889100000017
2013	-0.024065160999999974
2014	-0.03212121210000002
2015	-0.05700424499999998
2016	-0.031339031299999986
2017	-0.0661139455
2018	0.0012670257000000074
2019	0.0550986842
2020	-0.008333333299999968
2021	-0.011413520600000004
2022	-0.0087601078
2023	-0.07051282049999999
