year	total	v1abs	v2abs	v1rel	v2rel
1981	49.0	43.0	6.0	0.8775510204081632	0.12244897959183673
1982	302.0	276.0	26.0	0.9139072847682119	0.08609271523178808
1983	296.0	263.0	33.0	0.8885135135135135	0.11148648648648649
1984	263.0	232.0	31.0	0.8821292775665399	0.11787072243346007
1985	408.0	380.0	28.0	0.9313725490196079	0.06862745098039216
1986	426.0	391.0	35.0	0.9178403755868545	0.08215962441314555
1987	390.0	337.0	53.0	0.8641025641025641	0.1358974358974359
1988	371.0	319.0	52.0	0.8598382749326146	0.14016172506738545
1989	460.0	389.0	71.0	0.8456521739130435	0.15434782608695652
1990	530.0	454.0	76.0	0.8566037735849057	0.14339622641509434
1991	628.0	526.0	102.0	0.8375796178343949	0.1624203821656051
1992	935.0	777.0	158.0	0.8310160427807487	0.16898395721925133
1993	970.0	811.0	159.0	0.8360824742268042	0.16391752577319588
1994	1415.0	1182.0	233.0	0.8353356890459364	0.16466431095406361
1995	2457.0	2033.0	424.0	0.8274318274318274	0.17256817256817256
1996	2449.0	2008.0	441.0	0.819926500612495	0.1800734993875051
1997	2966.0	2448.0	518.0	0.825354012137559	0.174645987862441
1998	3209.0	2597.0	612.0	0.809286382050483	0.190713617949517
1999	3656.0	2932.0	724.0	0.8019693654266958	0.19803063457330417
2000	5662.0	4490.0	1172.0	0.793006004945249	0.20699399505475097
2001	8203.0	6434.0	1769.0	0.7843471900524198	0.21565280994758015
2002	20627.0	15888.0	4739.0	0.7702525815678479	0.22974741843215205
2003	20995.0	16732.0	4263.0	0.7969516551559895	0.2030483448440105
2004	28934.0	23197.0	5737.0	0.8017211584986521	0.1982788415013479
2005	34242.0	27629.0	6613.0	0.8068745984463525	0.19312540155364757
2006	41033.0	32215.0	8818.0	0.7850997977237832	0.2149002022762167
2007	44124.0	34822.0	9302.0	0.7891850240232073	0.21081497597679266
2008	54085.0	41730.0	12355.0	0.7715632800221873	0.2284367199778127
2009	62067.0	48053.0	14014.0	0.7742117389272882	0.22578826107271174
2010	77740.0	59062.0	18678.0	0.7597375868278878	0.24026241317211217
2011	68158.0	53368.0	14790.0	0.7830041961325156	0.21699580386748438
2012	59410.0	45122.0	14288.0	0.759501767379229	0.2404982326207709
2013	65981.0	50096.0	15885.0	0.7592488746760431	0.2407511253239569
2014	74396.0	55617.0	18779.0	0.747580515081456	0.252419484918544
2015	74998.0	55722.0	19276.0	0.7429798127950079	0.25702018720499215
2016	79864.0	58326.0	21538.0	0.7303165381147951	0.26968346188520487
2017	84200.0	60227.0	23973.0	0.7152850356294537	0.28471496437054633
2018	89690.0	63706.0	25984.0	0.7102910023413982	0.28970899765860186
2019	88814.0	62943.0	25871.0	0.7087058346657058	0.29129416533429414
2020	102967.0	71364.0	31603.0	0.6930764225431449	0.3069235774568551
2021	101508.0	70007.0	31501.0	0.6896697797217953	0.31033022027820467
2022	90977.0	61836.0	29141.0	0.6796882728601734	0.32031172713982653
2023	91185.0	61777.0	29408.0	0.6774908153753358	0.32250918462466416
2024	72030.0	48100.0	23930.0	0.6677773150076357	0.3322226849923643
2025	79190.0	51710.0	27480.0	0.6529864881929537	0.34701351180704637
2026	45035.0	29528.0	15507.0	0.6556678139225047	0.3443321860774953
