year	total	v1abs	v2abs	v1rel	v2rel
1982	40.0	5.0	35.0	0.125	0.875
1983	50.0	7.0	43.0	0.14	0.86
1984	33.0	5.0	28.0	0.15151515151515152	0.8484848484848485
1985	45.0	14.0	31.0	0.3111111111111111	0.6888888888888889
1986	58.0	7.0	51.0	0.1206896551724138	0.8793103448275862
1987	51.0	4.0	47.0	0.0784313725490196	0.9215686274509803
1988	54.0	8.0	46.0	0.14814814814814814	0.8518518518518519
1989	46.0	2.0	44.0	0.043478260869565216	0.9565217391304348
1990	74.0	8.0	66.0	0.10810810810810811	0.8918918918918919
1991	90.0	13.0	77.0	0.14444444444444443	0.8555555555555555
1992	108.0	24.0	84.0	0.2222222222222222	0.7777777777777778
1993	151.0	23.0	128.0	0.152317880794702	0.847682119205298
1994	254.0	24.0	230.0	0.09448818897637795	0.905511811023622
1995	389.0	49.0	340.0	0.12596401028277635	0.8740359897172236
1996	406.0	43.0	363.0	0.10591133004926108	0.8940886699507389
1997	384.0	52.0	332.0	0.13541666666666666	0.8645833333333334
1998	431.0	36.0	395.0	0.08352668213457076	0.9164733178654292
1999	503.0	54.0	449.0	0.1073558648111332	0.8926441351888668
2000	503.0	47.0	456.0	0.09343936381709742	0.9065606361829026
2001	602.0	65.0	537.0	0.1079734219269103	0.8920265780730897
2002	1312.0	134.0	1178.0	0.10213414634146341	0.8978658536585366
2003	1258.0	124.0	1134.0	0.0985691573926868	0.9014308426073132
2004	1734.0	98.0	1636.0	0.05651672433679354	0.9434832756632064
2005	2294.0	197.0	2097.0	0.08587619877942458	0.9141238012205755
2006	1934.0	227.0	1707.0	0.11737331954498449	0.8826266804550155
2007	1985.0	157.0	1828.0	0.07909319899244333	0.9209068010075567
2008	2591.0	152.0	2439.0	0.05866460825935932	0.9413353917406406
2009	2900.0	351.0	2549.0	0.12103448275862069	0.8789655172413793
2010	2847.0	184.0	2663.0	0.06462943449244819	0.9353705655075518
2011	2796.0	238.0	2558.0	0.08512160228898426	0.9148783977110158
2012	2106.0	184.0	1922.0	0.08736942070275404	0.912630579297246
2013	2432.0	183.0	2249.0	0.07524671052631579	0.9247532894736842
2014	2983.0	273.0	2710.0	0.09151860543077439	0.9084813945692256
2015	3093.0	332.0	2761.0	0.10733915292596186	0.8926608470740381
2016	2839.0	121.0	2718.0	0.042620641070799575	0.9573793589292005
2017	2988.0	227.0	2761.0	0.07597054886211513	0.9240294511378849
2018	2354.0	72.0	2282.0	0.03058623619371283	0.9694137638062872
2019	2441.0	181.0	2260.0	0.07414993854977468	0.9258500614502253
2020	2223.0	68.0	2155.0	0.030589293747188485	0.9694107062528116
2021	2081.0	106.0	1975.0	0.050937049495434886	0.9490629505045651
2022	1910.0	109.0	1801.0	0.05706806282722513	0.9429319371727749
2023	2180.0	104.0	2076.0	0.047706422018348627	0.9522935779816514
2024	1652.0	44.0	1608.0	0.026634382566585957	0.9733656174334141
2025	1490.0	20.0	1470.0	0.013422818791946308	0.9865771812080537
2026	713.0	22.0	691.0	0.030855539971949508	0.9691444600280504
