year	total	v1abs	v2abs	v1rel	v2rel
1982	22.0	0.0	22.0	0.0	1.0
1983	23.0	0.0	23.0	0.0	1.0
1984	26.0	1.0	25.0	0.038461538461538464	0.9615384615384616
1985	43.0	0.0	43.0	0.0	1.0
1986	30.0	0.0	30.0	0.0	1.0
1987	43.0	0.0	43.0	0.0	1.0
1988	62.0	1.0	61.0	0.016129032258064516	0.9838709677419355
1989	55.0	0.0	55.0	0.0	1.0
1990	116.0	0.0	116.0	0.0	1.0
1991	115.0	1.0	114.0	0.008695652173913044	0.991304347826087
1992	166.0	0.0	166.0	0.0	1.0
1993	193.0	0.0	193.0	0.0	1.0
1994	329.0	1.0	328.0	0.00303951367781155	0.9969604863221885
1995	617.0	4.0	613.0	0.006482982171799027	0.993517017828201
1996	586.0	3.0	583.0	0.005119453924914676	0.9948805460750854
1997	666.0	4.0	662.0	0.006006006006006006	0.993993993993994
1998	782.0	3.0	779.0	0.0038363171355498722	0.9961636828644501
1999	913.0	7.0	906.0	0.007667031763417305	0.9923329682365827
2000	1333.0	7.0	1326.0	0.005251312828207052	0.994748687171793
2001	1612.0	13.0	1599.0	0.008064516129032258	0.9919354838709677
2002	4040.0	27.0	4013.0	0.006683168316831683	0.9933168316831683
2003	3534.0	20.0	3514.0	0.005659309564233163	0.9943406904357668
2004	4201.0	28.0	4173.0	0.006665079742918353	0.9933349202570817
2005	4666.0	30.0	4636.0	0.006429489927132447	0.9935705100728676
2006	5607.0	28.0	5579.0	0.004993757802746567	0.9950062421972534
2007	6663.0	56.0	6607.0	0.00840462254239832	0.9915953774576017
2008	7868.0	30.0	7838.0	0.0038129130655821047	0.9961870869344179
2009	8414.0	90.0	8324.0	0.010696458283812693	0.9893035417161873
2010	11407.0	33.0	11374.0	0.0028929604628736743	0.9971070395371263
2011	8964.0	35.0	8929.0	0.0039045069165551094	0.9960954930834449
2012	8446.0	17.0	8429.0	0.0020127871181624436	0.9979872128818376
2013	9663.0	19.0	9644.0	0.0019662630653006314	0.9980337369346993
2014	11124.0	35.0	11089.0	0.0031463502337288744	0.9968536497662711
2015	10619.0	22.0	10597.0	0.002071758169319145	0.9979282418306809
2016	11224.0	14.0	11210.0	0.0012473271560940842	0.9987526728439059
2017	10854.0	49.0	10805.0	0.004514464713469689	0.9954855352865303
2018	12070.0	66.0	12004.0	0.005468102734051367	0.9945318972659486
2019	11550.0	51.0	11499.0	0.004415584415584416	0.9955844155844156
2020	10406.0	54.0	10352.0	0.005189313857389967	0.99481068614261
2021	11613.0	104.0	11509.0	0.008955480926547835	0.9910445190734521
2022	11425.0	68.0	11357.0	0.005951859956236324	0.9940481400437636
2023	9972.0	55.0	9917.0	0.00551544324107501	0.994484556758925
2024	8503.0	18.0	8485.0	0.002116899917676114	0.9978831000823238
2025	9777.0	21.0	9756.0	0.0021478981282602025	0.9978521018717398
2026	5629.0	11.0	5618.0	0.0019541659264523006	0.9980458340735477
